method,metric,mean,std,median,p05,p95,count,channel_kind
water_filling,rate_spectral_efficiency,285.07250613260777,12.131932005458731,284.47450642383757,266.07186531618134,303.33173158559737,100,asymmetric
water_filling,energy_efficiency_bit_per_j,1273728.2188904043,54206.504705165964,1271056.305298591,1188831.73864766,1355311.992189998,100,asymmetric
water_filling,tx_power_w,0.9999999999999699,5.764256875825354e-13,0.9999999999999993,0.9999999999991124,1.0000000000008689,100,asymmetric
water_filling,delay_fim_unknown_amplitude_per_s2,1.784736327577952e+18,9.4677548641313e+16,1.7919871355187717e+18,1.6332507986707889e+18,1.9344661383831158e+18,100,asymmetric
water_filling,delay_crb_s2,5.420854657603584e-19,2.0565438712660207e-20,5.4077559732354035e-19,5.088371343539667e-19,5.818429798039091e-19,100,asymmetric
water_filling,range_rmse_bound_m,0.11034364508251311,0.0020920681508754847,0.11022985696331063,0.10692520845865362,0.1143387851688299,100,asymmetric
water_filling,psl_db,-14.750721931241904,0.9158735928375903,-14.663376265989452,-16.198731554863194,-13.354646840448678,100,asymmetric
water_filling,spectral_centroid_hz,-46950.84611128366,13071.257365275593,-45272.334939006905,-71678.94186838192,-25370.197219298196,100,asymmetric
water_filling,solve_time_s,0.0,0.0,0.0,0.0,0.0,100,asymmetric
linear_sensing,rate_spectral_efficiency,276.5152432085648,12.153936347609504,276.0592899818145,258.02367704036214,294.01662644061116,100,asymmetric
linear_sensing,energy_efficiency_bit_per_j,1235493.6405154183,54304.821991112876,1233456.4027054794,1152871.7487384705,1313691.3101523533,100,asymmetric
linear_sensing,tx_power_w,0.9999999993837574,2.0354823602951086e-10,0.9999999993744602,0.9999999990774459,0.9999999997355347,100,asymmetric
linear_sensing,delay_fim_unknown_amplitude_per_s2,2.705209470986487e+18,7.246521634235302e+16,2.726188194515564e+18,2.561104804087112e+18,2.791421316281528e+18,100,asymmetric
linear_sensing,delay_crb_s2,3.5575676543171854e-19,5.988818478677278e-29,3.557567654306035e-19,3.5575676533714296e-19,3.557567655301297e-19,100,asymmetric
linear_sensing,range_rmse_bound_m,0.08940612888700868,7.525325279755018e-12,0.08940612888686857,0.08940612887512467,0.08940612889937466,100,asymmetric
linear_sensing,psl_db,-8.129602478354808,0.33706499297863074,-8.141494707440312,-8.562878648603677,-7.62700894381953,100,asymmetric
linear_sensing,spectral_centroid_hz,-59516.16006504808,21659.090160478092,-56668.50074541582,-97308.50657008929,-27173.663175885224,100,asymmetric
linear_sensing,solve_time_s,0.005501341869967291,0.00021475213121336094,0.005499646500538802,0.005179261798730295,0.005830305750350817,100,asymmetric
exact_fim,rate_spectral_efficiency,283.98795075382736,12.280031907834202,283.7783215786734,265.3868040922557,301.9674144206791,100,asymmetric
exact_fim,energy_efficiency_bit_per_j,1268882.3336660317,54868.22767008451,1267945.6926646484,1185770.827416446,1349216.1076888242,100,asymmetric
exact_fim,tx_power_w,0.999999999526088,1.5313306048175873e-10,0.9999999994936526,0.9999999993099008,0.9999999998155583,100,asymmetric
exact_fim,delay_fim_unknown_amplitude_per_s2,2.1081819713001718e+18,3672852936.689491,2.108181970405039e+18,2.1081819678052572e+18,2.10818197898709e+18,100,asymmetric
exact_fim,delay_crb_s2,4.667360231870078e-19,3.427564421197298e-21,4.672410793681651e-19,4.603348167732519e-19,4.716768567168266e-19,100,asymmetric
exact_fim,range_rmse_bound_m,0.10240554256994865,0.0003764527593159748,0.1024616195932353,0.10170155945583341,0.10294683305291251,100,asymmetric
exact_fim,psl_db,-12.079876013563403,0.7423292581545924,-12.171920981684345,-13.074939370090046,-10.846600745590418,100,asymmetric
exact_fim,spectral_centroid_hz,-35150.72424037314,8473.989313874463,-34849.93816817716,-49310.82091508461,-21250.428434056663,100,asymmetric
exact_fim,solve_time_s,0.007429924820062297,0.004757863888232388,0.006768212999304524,0.0063362118517034105,0.007264191299509548,100,asymmetric
exact_fim_psl,rate_spectral_efficiency,283.86724543369996,12.308387128792416,283.775538116025,265.02876886130565,301.7965161975814,100,asymmetric
exact_fim_psl,energy_efficiency_bit_per_j,1268343.0117961476,54994.92121988513,1267933.2557169613,1184171.0952704188,1348452.5195758068,100,asymmetric
exact_fim_psl,tx_power_w,0.9999999997368104,7.705484842407525e-11,0.9999999997149472,0.999999999639588,0.9999999998950019,100,asymmetric
exact_fim_psl,delay_fim_unknown_amplitude_per_s2,2.1081819709822254e+18,1241861438.3880014,2.1081819705813153e+18,2.1081819695565012e+18,2.1081819733899878e+18,100,asymmetric
exact_fim_psl,delay_crb_s2,4.674547717441456e-19,3.2283025914001864e-21,4.68203693890152e-19,4.614209344959081e-19,4.716959519026633e-19,100,asymmetric
exact_fim_psl,range_rmse_bound_m,0.10248444056824363,0.0003544303600681133,0.10256711110682504,0.10182146735221688,0.10294891624385988,100,asymmetric
exact_fim_psl,psl_db,-12.856089015626107,0.1680655787774303,-12.82591742418993,-13.074940095257663,-12.710954977888907,100,asymmetric
exact_fim_psl,spectral_centroid_hz,-33375.87300853754,8247.345218317021,-32367.890312723204,-47305.064579801416,-21169.36298124196,100,asymmetric
exact_fim_psl,solve_time_s,0.46716936140019244,0.024502467998841274,0.4684573204995104,0.43105724169927273,0.5077283701000852,100,asymmetric
