method,metric,mean,std,median,p05,p95,count,channel_kind
water_filling,rate_spectral_efficiency,319.02225937827535,12.536889216380272,318.17143724057905,302.25197794092475,339.957914633774,100,ordinary
water_filling,energy_efficiency_bit_per_j,1425418.6057328049,56015.88798802848,1421617.0600117417,1350487.561011733,1518960.8951723515,100,ordinary
water_filling,tx_power_w,0.9999999999999283,5.657384127747363e-13,0.9999999999998919,0.9999999999991142,1.0000000000009008,100,ordinary
water_filling,delay_fim_unknown_amplitude_per_s2,2.0276280965569917e+18,4.385095103658439e+16,2.0291913104632146e+18,1.9540432796461437e+18,2.095535204470913e+18,100,ordinary
water_filling,delay_crb_s2,4.931628663112882e-19,1.0424927434682121e-20,4.926474901585009e-19,4.771796963329076e-19,5.106801474994744e-19,100,ordinary
water_filling,range_rmse_bound_m,0.10525963695191319,0.0011127498927191019,0.10521043330205937,0.10354560410505884,0.10711864910882818,100,ordinary
water_filling,psl_db,-13.135116573441808,0.6067993350194639,-13.131032228442853,-13.951673529240974,-12.086028229286264,100,ordinary
water_filling,spectral_centroid_hz,276.455717358389,6174.291767959331,-211.22967635107503,-9793.260503984458,12398.451261789669,100,ordinary
water_filling,solve_time_s,0.0,0.0,0.0,0.0,0.0,100,ordinary
linear_sensing,rate_spectral_efficiency,312.489630159247,12.386625913441685,311.55785460381844,295.3863825131613,333.0897116015416,100,ordinary
linear_sensing,energy_efficiency_bit_per_j,1396230.263387709,55344.498728574785,1392067.011005788,1319811.497489932,1488273.1800649147,100,ordinary
linear_sensing,tx_power_w,0.999999999177956,2.301627899272575e-10,0.9999999991370787,0.9999999988618219,0.9999999995981427,100,ordinary
linear_sensing,delay_fim_unknown_amplitude_per_s2,2.808670775878713e+18,5556227834582796.0,2.8106107014534216e+18,2.7997135199357005e+18,2.81090808446898e+18,100,ordinary
linear_sensing,delay_crb_s2,3.557567654793065e-19,6.983757983331351e-29,3.5575676548583674e-19,3.5575676536405653e-19,3.557567655939351e-19,100,ordinary
linear_sensing,range_rmse_bound_m,0.0894061288929884,8.775528112608675e-12,0.08940612889380897,0.08940612887850653,0.0894061289073922,100,ordinary
linear_sensing,psl_db,-7.816906068062779,0.18500425887019403,-7.815709829446908,-8.086528842325782,-7.537223448764951,100,ordinary
linear_sensing,spectral_centroid_hz,861.6657309116853,9217.336789775953,-277.62944395246666,-10859.767283036254,20599.519415327424,100,ordinary
linear_sensing,solve_time_s,0.005315512729830516,0.00023100568418831438,0.0053344534990174,0.004986411600111751,0.005657958349729597,100,ordinary
exact_fim,rate_spectral_efficiency,318.9218938739558,12.53978716936391,317.98405803390347,302.1174382681414,339.8691873227363,100,ordinary
exact_fim,energy_efficiency_bit_per_j,1424970.1648294115,56028.836263076955,1420779.8345131683,1349886.427009147,1518564.4546630324,100,ordinary
exact_fim,tx_power_w,0.9999999994113744,1.598341768706762e-10,0.9999999993865005,0.9999999991818926,0.9999999996938442,100,ordinary
exact_fim,delay_fim_unknown_amplitude_per_s2,2.1092177800875397e+18,5647156780280289.0,2.1081819741456707e+18,2.1081819696524088e+18,2.10818200052232e+18,100,ordinary
exact_fim,delay_crb_s2,4.739212516226844e-19,1.2608134520163509e-21,4.742884945055596e-19,4.72934026068967e-19,4.743417994212039e-19,100,ordinary
exact_fim,range_rmse_bound_m,0.10319137898473409,0.00013774321750983684,0.10323144393141001,0.10308393468965406,0.10323724482001974,100,ordinary
exact_fim,psl_db,-12.3387171360302,0.3848477982959721,-12.377349990450671,-12.86636125773495,-11.728123329683159,100,ordinary
exact_fim,spectral_centroid_hz,272.4336082532316,5706.344636868213,-202.5478105988987,-8563.320893536413,11983.122060269094,100,ordinary
exact_fim,solve_time_s,0.007236260019853944,0.004723833429716776,0.006524361500851228,0.006227285751265299,0.007126514249102911,100,ordinary
exact_fim_psl,rate_spectral_efficiency,318.8683296376607,12.553429122535332,317.9159643719595,302.0830224222556,339.86009678384914,100,ordinary
exact_fim_psl,energy_efficiency_bit_per_j,1424730.8348872655,56089.78970665624,1420475.5858688576,1349732.6537083779,1518523.8368516762,100,ordinary
exact_fim_psl,tx_power_w,0.999999999722802,6.126479734537266e-11,0.9999999997092053,0.9999999996517583,0.9999999998592366,100,ordinary
exact_fim_psl,delay_fim_unknown_amplitude_per_s2,2.108181971440305e+18,1126008838.7054489,2.1081819712113587e+18,2.1081819701968934e+18,2.1081819735419512e+18,100,ordinary
exact_fim_psl,delay_crb_s2,4.7416773212405e-19,2.88718006203905e-22,4.742977300923177e-19,4.735319585188832e-19,4.743418307995041e-19,100,ordinary
exact_fim_psl,range_rmse_bound_m,0.1032182960650812,3.143585402142025e-05,0.10323244901478242,0.1031490789684206,0.10323724823465566,100,ordinary
exact_fim_psl,psl_db,-12.886169972073064,0.04022704918027931,-12.882846872215348,-12.91577602980207,-12.841638623464274,100,ordinary
exact_fim_psl,spectral_centroid_hz,253.22025922991844,5448.97325790349,-195.784981225959,-8054.315751449575,11303.961620124157,100,ordinary
exact_fim_psl,solve_time_s,0.46403113486012443,0.023088482677629644,0.46868917099891405,0.4259468401010963,0.49783833925121146,100,ordinary
