method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,label,channel_kind,realization,psl_max_db_request,validation_psl_violation,sensing_model,min_sensing_surrogate,sensing_fraction,s_max,min_unknown_fim,gamma_fim_kernel,c_beta,unknown_fim_representation,s0_epsilon_w,fim_fraction,j_max,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,validation_grid_isl_db,worst_delay_s,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s
exact_fim,ok,optimal,0.007064779998472659,False,,314.04529381482473,4710679.407222371,0.9999999995467168,3.3571428558477625,1403181.1005649942,79916726372.27315,2.108318205332962e+18,2.108318205332962e+18,2.1081819761692278e+18,4.743117037411685e-19,0.10323396970872262,-12.05553447270466,-7.777596186064826,0.017757045263221735,7.212530082692157e-06,64,-2272.405379693874,79911562582.28839,79911562546.06583,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,2,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.46735213799911435,False,,313.95669961814133,4709350.49427212,0.9999999998110752,3.357142856603072,1402785.2538385217,79914677982.50215,2.1082641658641073e+18,2.1082641658641073e+18,2.1081819710622792e+18,4.743238613981438e-19,0.10323529275761587,-12.897955994566585,-7.770426339876102,0.01858201906765555,7.730155552426943e-06,64,-1765.1147322642796,79911562367.58195,79911562352.48468,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,2,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466484820223,-12.862276710434964,-7.77033362458214,-1.46484375e-06,-0.39418976429732844,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,329.98992217039915,4949848.832555987,1.0000000000007903,3.3571428571451154,1474423.0565050468,76374182417.8381,2.0148607997138186e+18,2.0148607997138186e+18,2.0137881140983916e+18,4.96312201886123e-19,0.10560103712978225,-13.122964906271566,-8.868144693833015,0.016743539100417596,5.564731787348639e-06,64,-6376.567946694966,76333521798.99893,76333521799.05925,1.0416666666666667e-06,Water-filling (comm. only),ordinary,3,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.00556785299704643,False,,323.26048875389085,4848907.331308363,0.9999999991374787,3.3571428546785107,1444355.3763435867,106548749941.43503,2.8109092983935657e+18,2.8109092983935657e+18,2.809836406481452e+18,3.5575676546073537e-19,0.08940612889065483,-7.775753447240536,-2.0757831007139185,0.04011239106102069,5.674833982024948e-05,64,-6377.181084171862,106508081594.75528,106508081502.88979,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,3,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006469020998338237,False,,329.88374677104815,4948256.201565722,0.9999999995610331,3.3571428558886662,1473948.6563361848,79943787842.22368,2.10903212583934e+18,2.10903212583934e+18,2.108181972941515e+18,4.741511462761744e-19,0.10321649555905661,-12.23096458426129,-7.92680416892329,0.018466926681513077,6.031506529453627e-06,64,-5676.743654585297,79911562458.79648,79911562423.71796,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,3,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.4755125929987116,False,,329.83206102752376,4947480.915412856,0.9999999997507248,3.3571428564306425,1473717.7197973283,79939835838.10727,2.1089278662856225e+18,2.1089278662856225e+18,2.1081819691688448e+18,4.741745869958385e-19,0.10321904689638214,-12.869245885135431,-7.956548337410397,0.019612244471875265,6.148557827891112e-06,64,-5317.288538445983,79911562300.6332,79911562280.71323,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,3,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466500694737,-12.838939384231363,-7.956425083926685,-1.46484375e-06,-0.4175270905009292,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,315.6450765537088,4734676.148305632,0.9999999999995193,3.3571428571414836,1410329.0654533184,77225309104.23877,2.0373147460832463e+18,2.0373147460832463e+18,2.037244440465393e+18,4.908421744467849e-19,0.10501749214136762,-13.425297659455387,-7.904674044184878,0.017277955570644817,1.1341654712806929e-05,64,1632.472138750755,77222644138.9921,77222644138.95497,1.0416666666666667e-06,Water-filling (comm. only),ordinary,4,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.0051750370002991986,False,,309.5697146686376,4643545.720029564,0.9999999992684554,3.35714285505273,1383183.8323593258,106548749947.35358,2.810909298549705e+18,2.810909298549705e+18,2.8108809008190444e+18,3.5575676544097394e-19,0.08940612888817168,-7.937518919832477,-1.8935361483345035,0.039201959268421654,6.161166906780924e-05,64,1037.510692934223,106547673596.8608,106547673518.91641,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,4,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006591729001229396,False,,315.58843019469646,4733826.452920447,0.9999999998082542,3.357142856595012,1410075.9649298151,79913762419.44162,2.1082400119934932e+18,2.1082400119934932e+18,2.1081819748145408e+18,4.743292956737064e-19,0.10323588413353793,-12.709312651227096,-7.289493803049924,0.018281633093102795,1.179743154262998e-05,64,1483.2143224177373,79911562510.03853,79911562494.71582,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,4,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.5023331620031968,False,,315.5848749612345,4733773.124418518,0.9999999996866701,3.357142856247629,1410060.0799900384,79913633512.48065,2.1082366112424243e+18,2.1082366112424243e+18,2.1081819694511178e+18,4.7433006080407685e-19,0.10323596739729493,-12.877331269081555,-7.287567968056537,0.018493362873117425,1.1912924704878692e-05,64,1439.1737450222677,79911562316.45161,79911562291.41293,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,4,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466630480638,-12.84549040440708,-7.287445941125751,-1.46484375e-06,-0.4109760703252121,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
