iteration,q_bit_per_j,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,residual_bps,residual_relative,solver_status,solver_name,solve_time_s
1,0.0,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,4809648.442639067,1.0,optimal,CLARABEL,0.005339520999768865
2,1432661.239758082,4137281.5924890907,0.7621161277179833,2.6774746506228095,1545217.8385803632,301367.4401069791,0.07284189711768423,optimal,CLARABEL,0.0020791930000996217
3,1545217.8385803632,4060644.2464704975,0.744086971002291,2.6259627742922604,1546344.9391680378,2959.7241861168295,0.0007288804451878332,optimal,CLARABEL,0.0028639899996960594
4,1546344.9391680378,4059896.4306140784,0.7439176483929533,2.625478995408438,1546345.0432146734,0.2731722560711205,6.728552334764902e-08,optimal,CLARABEL,0.00256552200016813
5,1546345.0432146734,4059897.1771189575,0.7439178173524437,2.625479478149839,1546345.0432223314,2.0106323063373566e-05,4.952421745232894e-12,optimal,CLARABEL,0.0030594899999414338
