path_loss_db,avg_snr_db,wf_gain_percent_mean,wf_gain_percent_std,wf_gain_abs_se_mean
100.0,37.17728766960431,0.0003129016650349481,0.0007300180612915356,0.002281179882379547
105.0,32.17728766960431,0.01666688473812683,0.050839230562191445,0.10597516319742795
110.0,27.177287669604308,0.015593134442879464,0.0234348230754429,0.0816836504959241
115.0,22.177287669604308,0.11013564542562637,0.1135197894457588,0.4552329196899393
120.0,17.177287669604308,0.44316686877278855,0.2631770607364975,1.3986923363414916
125.0,12.177287669604308,1.2945710673902888,0.5179161292201129,2.9057731553829442
130.0,7.177287669604309,4.580569523639111,1.1557442653942838,6.322269952214677
135.0,2.177287669604309,13.140925161502153,2.548783424130888,9.722497539217423
140.0,-2.8227123303956914,32.01933257280971,5.2982754450816145,10.940697066016451
145.0,-7.822712330395691,66.1493101331697,7.835203704932846,8.505254987409359
150.0,-12.822712330395692,100.27998021324973,10.602565309876043,4.493910476357281
