path_loss_db,avg_snr_db,channel,method,label,status,solver_status,solver_name,solve_time_s,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,meets_requirements,max_violation,violated_constraints,slack_power_nonnegative,slack_peak_power,slack_total_power,slack_min_rate,slack_min_sensing,water_level_w,solver_inaccurate,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,dinkelbach_enforces_min_rate,water_filling_capacity_se
100.0,37.17728766960431,0,uniform,Uniform,ok,closed_form,numpy,2.5809999897319358e-06,,747.6131183152127,11214196.77472819,1.0,3.357142857142857,3340399.0392807373,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,74.76126001329396,-29767500000.0,,,,,,,,747.6131758910208
100.0,37.17728766960431,0,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00015341100015575648,,747.6131758910208,11214197.638365312,0.9999999999997392,3.357142857142112,3340399.2965350896,76774229460.39888,2.02541461618137e+18,2.02541461618137e+18,2.0254145808580774e+18,4.937260707071213e-19,0.10532555042882584,-13.250836493669457,-9.685928067493741,0.0156332741611287,3.0585857640229047e-10,64,False,29774520539.60112,min_sensing,0.015517563475463575,0.046866725838871304,2.6079138848444927e-13,74.76131758910208,-29774520539.60112,0.015634298530472684,,,,,,,747.6131758910208
100.0,37.17728766960431,0,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.008077989999947022,,740.101950160712,11101529.25241068,0.999999999912863,3.3571428568938946,3306838.500963307,106548750020.77557,2.8109093004866826e+18,2.8109093004866826e+18,2.8109092668144686e+18,3.557567651958245e-19,0.08940612885736711,-7.91820875229639,-2.233079157671657,0.03941709548769962,5.257779588891262e-05,64,True,0.0,,0.009966276684857852,0.023082904512300377,8.713696431073004e-11,67.25009185879333,20.77557373046875,,False,,,,,,747.6131758910208
100.0,37.17728766960431,0,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.01956437999933769,,626.058848827695,9390882.732415425,0.624126706910135,2.283219162600386,4113001.0146376113,106548750001.16711,2.8109092999693834e+18,2.8109092999693834e+18,2.810909296400779e+18,3.5575676526129536e-19,0.08940612886559393,-2.1178268859160094,6.7382369441137495,0.06249999975720524,0.00031033259494370294,64,False,46.79300947422371,min_rate,0.00172529768141036,2.4279476346089623e-10,0.37587329308986495,-46.79300947422371,1.1671142578125,,False,5.0,True,4113001.0152716576,-0.0014476664364337921,False,747.6131758910208
100.0,37.17728766960431,1,uniform,Uniform,ok,closed_form,numpy,1.922000137710711e-06,,755.0845779222625,11326268.668833937,1.0,3.357142857142857,3373782.156673939,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,75.50842486575868,-29767500000.0,,,,,,,,755.0846145072264
100.0,37.17728766960431,1,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.0001761139997142891,,755.0846145072264,11326269.217608396,1.0000000000007594,3.357142857145027,3373782.3201364903,76791585416.49728,2.0258724912705313e+18,2.0258724912705313e+18,2.0258724859548744e+18,4.936144818141281e-19,0.10531364724359543,-13.252223324333318,-9.680967851451992,0.015633396960478052,1.9404928544087267e-10,64,False,29757164583.502716,min_sensing,0.015558120254730192,0.04686660303952195,-7.593925488436071e-13,75.50846145072262,-29757164583.502716,0.015633912668915083,,,,,,,755.0846145072264
100.0,37.17728766960431,1,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.006122605999735242,,747.5813184879698,11213719.777319547,0.9999999999360213,3.357142856960061,3340256.9551281244,106548750015.82216,2.810909300356005e+18,2.810909300356005e+18,2.810909293986195e+18,3.5575676521236345e-19,0.08940612885944534,-7.919497848956513,-2.2324207880227176,0.03941381523505409,5.259486356592796e-05,64,True,0.0,,0.010072738069750306,0.023086184764945908,6.397871121777143e-11,68.00516543146603,15.822158813476562,,False,,,,,,755.0846145072264
100.0,37.17728766960431,1,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.019838705000438495,,632.7286082655526,9490929.123983288,0.6230495040700931,2.280141440200266,4162429.9951978833,106548750001.42963,2.810909299976309e+18,2.810909299976309e+18,2.810909295930432e+18,3.557567652604188e-19,0.0894061288654838,-2.0957278190633675,6.755461203431935,0.062499999820635053,0.0003110303484283384,64,False,46.84754479095125,min_rate,0.001769668381963587,1.7936494650649948e-10,0.3769504959299069,-46.84754479095125,1.42962646484375,,False,5.0,True,4162429.9966250863,-0.0032542236149311066,False,755.0846145072264
100.0,37.17728766960431,2,uniform,Uniform,ok,closed_form,numpy,1.5740001799713355e-06,,735.6212926138609,11034319.389207913,1.0,3.357142857142857,3286818.5414661868,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,73.55796995538253,-29767500000.0,,,,,,,,735.6259140649759
100.0,37.17728766960431,2,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00015157600000748062,,735.6259140649759,11034388.710974637,0.9999999999991349,3.357142857140386,3286839.190505503,76721057508.1643,2.0240118635912922e+18,2.0240118635912922e+18,2.0240060157949975e+18,4.940682502846878e-19,0.10536204233413489,-13.295314665763806,-9.70214993071507,0.015653143743959323,2.5821703925205167e-08,64,False,29827692491.835693,min_sensing,0.014352329740497528,0.04684685625604068,8.65085780787922e-13,73.56259140649752,-29827692491.835693,0.015653552330518062,,,,,,,735.6259140649759
100.0,37.17728766960431,2,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.005816887000037241,,728.1068205460958,10921602.308191437,0.9999999999352526,3.3571428569578647,3253243.240917142,106548750014.45033,2.810909300319814e+18,2.810909300319814e+18,2.810903453668822e+18,3.5575676521694384e-19,0.08940612886002089,-7.9334012911379475,-2.2248184723424504,0.039496796747277435,5.279288152219205e-05,64,True,0.0,,0.010082036247219919,0.023003203252722565,6.474742964002189e-11,66.04349788761749,14.450332641601562,,False,,,,,,735.6259140649759
100.0,37.17728766960431,2,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.018604360000153974,,615.3245033410316,9229867.550115474,0.6254196705743167,2.286913344498048,4035949.8414406804,106548750000.10922,2.810909299941475e+18,2.810909299941475e+18,2.8109001688678835e+18,3.5575676526482756e-19,0.08940612886603778,-2.151748890066345,6.723607513503712,0.06249999994734022,0.0003098796682961131,64,False,46.73881931744677,min_rate,0.0018666316800733463,5.2659779314900845e-11,0.3745803294256833,-46.73881931744677,0.109222412109375,,False,5.0,True,4035949.8413328324,0.00024664029479026794,False,735.6259140649759
100.0,37.17728766960431,3,uniform,Uniform,ok,closed_form,numpy,1.430999873264227e-06,,732.7091247920135,10990636.871880203,1.0,3.357142857142857,3273806.7277941033,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,73.27058989264037,-29767500000.0,,,,,,,,732.7094832215257
100.0,37.17728766960431,3,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00013975799993204419,,732.7094832215257,10990642.248322885,0.9999999999993575,3.357142857141022,3273808.3292894578,76787119983.05254,2.0257546867125427e+18,2.0257546867125427e+18,2.0257545405298417e+18,4.936431871831584e-19,0.10531670937332449,-13.238552288910082,-9.680509691757885,0.01564342571603028,1.9123375709138333e-09,64,False,29761630016.947464,min_sensing,0.015435123804856682,0.04685657428396972,6.424860643505781e-13,73.27094832215255,-29761630016.947464,0.01564380496705896,,,,,,,732.7094832215257
100.0,37.17728766960431,3,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.0063433259997509595,,725.2130323335314,10878195.48500297,0.9999999999625617,3.3571428570358908,3240313.548827533,106548750008.94144,2.810909300174482e+18,2.810909300174482e+18,2.810909153420309e+18,3.557567652353375e-19,0.08940612886233217,-7.9130053932463635,-2.235605239814942,0.03941775588117805,5.251233630304443e-05,64,True,0.0,,0.009989596007176457,0.023082244118821947,3.7438274702594754e-11,65.7744974341582,8.941436767578125,,False,,,,,,732.7094832215257
100.0,37.17728766960431,3,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.01953200799971455,,612.6890101865027,9190335.15279754,0.6257257343650164,2.2877878124714757,4017127.420077174,106548749999.4739,2.8109092999247145e+18,2.8109092999247145e+18,2.810909298902682e+18,3.557567652669488e-19,0.08940612886630432,-2.148109336684743,6.711201661399549,0.06249999989893412,0.000309219665388239,64,False,46.749524712870425,min_rate,0.001717245316505771,1.0106587788882848e-10,0.37427426563498356,-46.749524712870425,-0.526092529296875,,False,5.0,True,4017127.41926383,0.001860758289694786,False,732.7094832215257
100.0,37.17728766960431,4,uniform,Uniform,ok,closed_form,numpy,1.5440000424860045e-06,,717.6236533305978,10764354.799958967,1.0,3.357142857142857,3206403.557434586,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,71.76114050937883,-29767500000.0,,,,,,,,717.6250142457989
100.0,37.17728766960431,4,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00014089999967836775,,717.6250142457989,10764375.213686982,0.9999999999991764,3.3571428571405044,3206409.6381217735,76826311841.85344,2.026788624326877e+18,2.026788624326877e+18,2.0267884874606418e+18,4.933913620775887e-19,0.10528984302999567,-13.25135234492409,-9.669052786511207,0.015654899685141995,7.335690161692621e-09,64,False,29722438158.14656,min_sensing,0.015150071630872425,0.046845100314858,8.235634396669411e-13,71.76250142457991,-29722438158.14656,0.015655635810370192,,,,,,,717.6250142457989
100.0,37.17728766960431,4,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.00601060700000744,,710.1579124493119,10652368.686739678,0.9999999999271638,3.357142856934754,3173045.991991489,106548750017.44595,2.810909300398843e+18,2.810909300398843e+18,2.8109091772850145e+18,3.557567652069417e-19,0.08940612885876406,-7.918849268091828,-2.2337597373585254,0.03937455096489633,5.2560236857965666e-05,64,True,0.0,,0.009820971119229808,0.02312544903510367,7.28361815305334e-11,64.29539962809292,17.445953369140625,,False,,,,,,717.6250142457989
100.0,37.17728766960431,4,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.019094004000180576,,599.1787019227193,8987680.52884079,0.6272670465768788,2.2921915616482256,3920998.872527957,106548750000.4921,2.8109092999515766e+18,2.8109092999515766e+18,2.8109091988741023e+18,3.5575676526354904e-19,0.08940612886587712,-2.182111424635527,6.68726944747119,0.06249999983437169,0.0003082637044983553,64,False,46.6838108984997,min_rate,0.0015789413427358865,1.656283096784783e-10,0.3727329534231212,-46.6838108984997,0.492095947265625,,False,5.0,True,3920998.8729369747,-0.0009375475347042084,False,717.6250142457989
100.0,37.17728766960431,5,uniform,Uniform,ok,closed_form,numpy,1.8089999684889335e-06,,738.8205492789507,11082308.23918426,1.0,3.357142857142857,3301113.0925229713,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,73.88191403755616,-29767500000.0,,,,,,,,738.8207058237717
100.0,37.17728766960431,5,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00013477700031216955,,738.8207058237717,11082310.587356577,0.9999999999993441,3.357142857140983,3301113.7919803974,76777083007.41612,2.0254898968566344e+18,2.0254898968566344e+18,2.025489894951912e+18,4.937077205627655e-19,0.1053235931116736,-13.2498742976657,-9.685006756977582,0.01563785929303663,8.337241057357036e-10,64,False,29771666992.583878,min_sensing,0.015447804445391095,0.04686214070696337,6.559197629485425e-13,73.8820705823772,-29771666992.583878,0.015638577003250713,,,,,,,738.8207058237717
100.0,37.17728766960431,5,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.006298841999978322,,731.3147277402911,10969720.916104367,0.9999999999477188,3.3571428569934825,3267576.4432403073,106548750012.65097,2.810909300272344e+18,2.810909300272344e+18,2.810909298472513e+18,3.557567652229518e-19,0.08940612886077583,-7.917791870059334,-2.2327457099443127,0.039417413473714046,5.258637910583248e-05,64,True,0.0,,0.010024984533570513,0.023082586526285954,5.228117938571586e-11,66.37609249889658,12.650970458984375,,False,,,,,,738.8207058237717
100.0,37.17728766960431,5,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.019427120999353065,,618.1919282887309,9272878.924330963,0.6251726302051448,2.286207514871842,4056009.2922495585,106548750000.20947,2.81090929994412e+18,2.81090929994412e+18,2.81090929179896e+18,3.557567652644928e-19,0.08940612886599572,-2.1389002892403304,6.721803828661452,0.06249999994903535,0.0003096848357397438,64,False,46.74670695266366,min_rate,0.0017435586449744541,5.096464916753973e-11,0.3748273697948552,-46.74670695266366,0.20947265625,,False,5.0,True,4056009.2916025524,0.0014791898429393768,False,738.8207058237717
