path_loss_db,avg_snr_db,method,rate_bps,rate_se,tx_power_w,ee_bit_per_j,delay_crb_s2,range_rmse_m,psl_db,count
100.0,37.17728766960431,dinkelbach_ee_isac,9264803.478751825,617.6535652501217,0.6250195603986587,4053484.8799580475,3.557567652629916e-19,0.08940612886580708,-2.1375969762274964,20
100.0,37.17728766960431,max_rate_isac,10961177.103124257,730.7451402082837,0.9999999999279883,3265031.477726438,3.55756765207826e-19,0.08940612885887517,-7.922128328117218,20
100.0,37.17728766960431,uniform,11073628.818746356,738.2419212497571,1.0,3298527.7332435953,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
100.0,37.17728766960431,water_filling,11073663.036444593,738.2442024296395,0.9999999999999314,3298537.9257496344,4.937043672284773e-19,0.10532322869442465,-13.261868330666971,20
105.0,32.17728766960431,dinkelbach_ee_isac,7857752.4512409,523.85016341606,0.6411703116104113,3369932.841995013,3.5575676527839955e-19,0.08940612886774318,-2.4677852011378008,20
105.0,32.17728766960431,max_rate_isac,9370372.877509229,624.691525167282,0.9999999998957698,2791174.899931379,3.5575676520679564e-19,0.0894061288587457,-7.914634198878358,20
105.0,32.17728766960431,uniform,9480217.976021837,632.0145317347893,1.0,2823894.716261824,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
105.0,32.17728766960431,water_filling,9481807.6034698,632.1205068979867,0.9999999999998215,2824368.2223105747,4.9341379486307525e-19,0.10529207351995014,-13.252001493609546,20
110.0,27.177287669604308,dinkelbach_ee_isac,6519577.713165041,434.6385142110028,0.6647895119287663,2717539.3858558787,3.55756765311685e-19,0.0894061288719257,-2.897339796367678,20
110.0,27.177287669604308,max_rate_isac,7805139.072498856,520.342604833257,0.9999999998404151,2324935.0431878343,3.557567652333979e-19,0.08940612886208844,-7.92438622834284,20
110.0,27.177287669604308,uniform,7914690.893740425,527.646059582695,1.0,2357567.500263105,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
110.0,27.177287669604308,water_filling,7915916.148497863,527.727743233191,1.000000000000111,2357932.469765101,4.941609017979296e-19,0.10537152619354355,-13.301646351946697,20
115.0,22.177287669604308,dinkelbach_ee_isac,5155989.923097298,343.7326615398198,0.6971260315250513,2069344.9391184621,3.557567653640492e-19,0.0894061288785056,-3.4695452934814717,20
115.0,22.177287669604308,max_rate_isac,6174660.375107293,411.6440250071529,0.9999999996860716,1839260.5377574605,3.5575676529723066e-19,0.08940612887010943,-7.841972675700765,20
115.0,22.177287669604308,uniform,6275869.938695319,418.3913292463546,1.0,1869408.066845414,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
115.0,22.177287669604308,water_filling,6282698.432490667,418.8465621660445,0.999999999999981,1871442.0862738464,4.94419268086249e-19,0.10539726318232676,-13.187621454185125,20
120.0,17.177287669604308,dinkelbach_ee_isac,3938781.074110425,262.585404940695,0.7327461741497825,1518880.7998463104,3.557567653694353e-19,0.0894061288791824,-4.110610350235541,20
120.0,17.177287669604308,max_rate_isac,4694817.859668719,312.9878573112479,0.9999999991521078,1398456.384735269,3.5575676548119588e-19,0.08940612889322581,-7.912883741551248,20
120.0,17.177287669604308,uniform,4768552.115334618,317.90347435564115,1.0,1420419.7790358437,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
120.0,17.177287669604308,water_filling,4789532.50037974,319.30216669198273,0.9999999999999479,1426669.255432316,4.912012950490083e-19,0.10505225536221326,-13.34435035466542,20
125.0,12.177287669604308,dinkelbach_ee_isac,2877705.0876938896,191.84700584625932,0.7783153792907276,1056576.6560093465,3.55756765423731e-19,0.08940612888600499,-4.689540829452796,20
125.0,12.177287669604308,max_rate_isac,3373967.09801896,224.93113986793068,0.9999999980491531,1005011.4776754959,3.557567658998119e-19,0.08940612894582754,-7.796045747197303,20
125.0,12.177287669604308,uniform,3410805.1611005054,227.3870107400337,1.0,1015984.5160724908,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
125.0,12.177287669604308,water_filling,3454391.7584312493,230.29278389541665,0.999999999999754,1028967.7578308049,4.895929536400963e-19,0.10486746239378524,-13.112344153484761,20
130.0,7.177287669604309,dinkelbach_ee_isac,1883285.9343868885,125.55239562579257,0.8430066374907094,647885.8815229427,3.5575676539641167e-19,0.08940612888257214,-5.581978642142802,20
130.0,7.177287669604309,max_rate_isac,2128353.7550262916,141.89025033508614,0.9999999970277192,633977.715866498,3.557567663867802e-19,0.08940612900701816,-7.8372257894172375,20
130.0,7.177287669604309,uniform,2095929.2239141804,139.728614927612,1.0,624319.3432935856,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
130.0,7.177287669604309,water_filling,2190763.2731974004,146.0508848798267,0.9999999999998497,652567.7835056928,4.984870412765139e-19,0.1058000154182616,-13.689659551060577,20
135.0,2.177287669604309,dinkelbach_ee_isac,1129388.5907159862,75.29257271439909,0.8901288019280184,371029.6892624841,3.5575676543404844e-19,0.08940612888730144,-5.968457430947109,20
135.0,2.177287669604309,max_rate_isac,1233912.4219171726,82.2608281278115,0.9999999444999821,367548.4002955664,3.557568011884751e-19,0.08940613338006677,-7.522908696159479,20
135.0,2.177287669604309,uniform,1123253.9546858722,74.88359697905815,1.0,334586.2843745151,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
135.0,2.177287669604309,water_filling,1269091.4177741336,84.60609451827557,1.0000000000001077,378027.2308263048,4.944862025775091e-19,0.10531434716102048,-12.091596388446693,20
