sensing_fraction,gamma_s,status,solver_status,solver_name,solve_time_s,meets_constraints,max_violation,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,rate_loss_vs_wf_percent
0.0,0.0,ok,optimal,CLARABEL,0.007411519000015687,True,0.0,327.6889212896415,4915333.819344622,0.9999999992134695,3.3571428548956272,1464141.9897210298,76079222312.85081,2.0070793278315146e+18,2.0070793278315146e+18,2.006726323202978e+18,4.982364105560383e-19,0.105805547376128,-12.707963352867111,-9.298814172234813,0.016452988183861664,3.0583261458520888e-06,64,3.889897293163358e-08
0.041625,7391819531.25,ok,optimal,CLARABEL,0.005350895999981731,True,0.0,327.68892137600426,4915333.820640064,0.99999999952915,3.3571428557975715,1464141.9897135433,76079206022.34723,2.0070788980645955e+18,2.0070788980645955e+18,2.006725663843727e+18,4.982365172411952e-19,0.10580555870396413,-12.7080540306161,-9.298788158073476,0.016452419556919774,3.058581411765047e-06,64,1.2543854843727331e-08
0.08325,14783639062.5,ok,optimal,CLARABEL,0.004930065000280592,True,0.0,327.688921327643,4915333.8199146455,0.9999999995115111,3.3571428557471745,1464141.9895194408,76079298877.00111,2.0070813477039398e+18,2.0070813477039398e+18,2.0067281282674296e+18,4.9823590914438e-19,0.1058054941361929,-12.70790658435056,-9.298745975665021,0.01645242260524659,3.058582168531416e-06,64,2.7302138327911507e-08
0.12487500000000001,22175458593.750004,ok,optimal,CLARABEL,0.005337510000117618,True,0.0,327.68892139786414,4915333.820967962,0.9999999997846557,3.357142856527588,1464141.989492835,76079236975.203,2.007079714645458e+18,2.007079714645458e+18,2.0067264846780268e+18,4.9823631453354895e-19,0.10580553718045349,-12.708052458554162,-9.298781434076892,0.0164524648942126,3.058569956162352e-06,64,5.872935471273877e-09
0.1665,29567278125.0,ok,optimal,CLARABEL,0.005823696999868844,True,0.0,327.68892128283073,4915333.819242461,0.9999999992824115,3.3571428550926043,1464141.9896046915,76079093544.95804,2.0070759307492646e+18,2.0070759307492646e+18,2.0067225035462577e+18,4.982372538475355e-19,0.1058056369168348,-12.70783731597694,-9.298751912187287,0.016454078460431006,3.058875179221196e-06,64,4.0977388149343597e-08
0.208125,36959097656.25,ok,optimal,CLARABEL,0.00522131800016723,True,0.0,327.688921282295,4915333.819234425,0.9999999992273533,3.357142854935295,1464141.989670905,76079416543.50221,2.0070844519155072e+18,2.0070844519155072e+18,2.0067311336829422e+18,4.982351385591309e-19,0.10580541231532944,-12.708016783612656,-9.298773020035696,0.01645212465628519,3.0583018912141005e-06,64,4.11408795919499e-08
0.24975000000000003,44350917187.50001,ok,optimal,CLARABEL,0.005276612999750796,True,0.0,327.6889213265255,4915333.819897882,0.9999999992609452,3.357142855031272,1464141.989826672,76079029014.80579,2.0070742283510193e+18,2.0070742283510193e+18,2.0067210161632694e+18,4.982376764518492e-19,0.10580568178894015,-12.708099585949967,-9.298783624732678,0.016452192622663578,3.0589222651530735e-06,64,2.7643176636615863e-08
0.291375,51742736718.75,ok,optimal,CLARABEL,0.005200201999741694,True,0.0,327.68892139308275,4915333.820896241,0.9999999997517721,3.3571428564336347,1464141.9895124468,76079066457.42587,2.0070752161412e+18,2.0070752161412e+18,2.0067219262804598e+18,4.982374312421628e-19,0.10580565575258996,-12.708091804821596,-9.298834963460882,0.016452434916249748,3.058559646382519e-06,64,7.332057183617735e-09
0.333,59134556250.0,ok,optimal,CLARABEL,0.0048748849999356025,True,0.0,327.6889212842177,4915333.8192632655,0.9999999992546034,3.357142855013153,1464141.9896455398,76079207268.38527,2.007078930936872e+18,2.007078930936872e+18,2.0067256385029786e+18,4.982365090809938e-19,0.10580555783751351,-12.707997987827033,-9.298757199303898,0.01645254633958879,3.0587325075882715e-06,64,4.05541267234355e-08
0.37462500000000004,66526375781.25001,ok,optimal,CLARABEL,0.005194692999793915,True,0.0,327.68892134086445,4915333.820112967,0.9999999993101181,3.357142855171766,1464141.989829467,76079162420.94392,2.0070777477968538e+18,2.0070777477968538e+18,2.0067245612376806e+18,4.982368027833942e-19,0.10580558902284533,-12.708082311303466,-9.298832130784682,0.01645232118678958,3.05840084755799e-06,64,2.3267388016279256e-08
0.41625,73918195312.5,ok,optimal,CLARABEL,0.005199469000217505,True,0.0,327.68892135102755,4915333.820265413,0.9999999996420832,3.357142856120238,1464141.9894612217,76079639208.38162,2.0070903261353395e+18,2.0070903261353395e+18,2.006737158579949e+18,4.98233680357328e-19,0.10580525748305857,-12.707872322511182,-9.298621525615975,0.016452833444730364,3.0587530577364237e-06,64,2.0165935588067896e-08
0.45787500000000003,81310014843.75,ok,optimal,CLARABEL,0.004969378999703622,True,0.0,327.4570475346927,4911855.713020391,0.9999999992313633,3.3571428549467526,1463105.9580270073,81310014878.64592,2.1450751604362437e+18,2.1450751604362437e+18,2.1447217951443932e+18,4.661841311875665e-19,0.10234566455763397,-11.508965879677424,-7.852019380386624,0.01886584573343062,4.006838345451977e-06,64,0.0707603666958323
