method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4850088359999063,False,,conventional_s2,245.1980807611315,3677971.211416973,0.9999999995034572,3.3571428557241636,1095565.8932254773,88790624856.67184,2.3424244128342917e+18,2.3424244128342917e+18,2.3340174753659494e+18,4.2690811900735694e-19,0.0979395071973838,-13.018845200226872,-5.368923584526307,0.03638566863759235,2.0513601384426522e-05,64,-17851.292741435554,88471956248.21976,88471956204.28964,3.6779712114169727,1.0955658932254773,88790624856.67184,2.3424244128342917e+18,2.3340174753659494e+18,2.3424244128342917e+18,0.3588989861222471,17851.292741435554,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.0035889903446218235,True,False,True,-13.256466474732292,-13.256466460932712,-13.018845200226872,-13.018845200226872,-0.23762127450542003,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.008723975999600952,False,,exact_efim,246.2276310335238,3693414.465502857,0.9999999983867711,3.3571428525336318,1100166.0125113358,88906888029.98584,2.3454916025958666e+18,2.3454916025958666e+18,2.3424244040712873e+18,4.263498530087478e-19,0.09787544870207403,-10.525769177450888,-6.185752081579018,0.024750023521503208,8.27948266185402e-06,64,-10782.555618547534,88790624667.74593,88790624524.50633,3.6934144655028573,1.1001660125113357,88906888029.98584,2.345491602595867e+18,2.3424244040712873e+18,2.3454916025958666e+18,0.13076996401030447,10782.555618547534,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-4.2261382476027416e-09,False,False,True,-13.256466474732292,-10.98812878808706,-10.518023878645536,-10.518023878645536,-2.738442596086756,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.49213555000096676,False,,exact_efim,245.13746990163102,3677062.0485244654,0.9999999994472177,3.3571428555634792,1095295.078799168,88842381045.25015,2.3437898155424804e+18,2.3437898155424804e+18,2.3424244095004324e+18,4.266594185914856e-19,0.09791097512740048,-13.025541680785164,-5.373116773717209,0.03371311447660035,1.9786035923207585e-05,64,-7194.186192914549,88790624779.38232,88790624730.30045,3.6770620485244656,1.0952950787991682,88842381045.25015,2.3437898155424804e+18,2.3424244095004324e+18,2.3437898155424804e+18,0.05825633480415012,7194.186192914549,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.908392131391063e-09,False,False,True,-13.256466474732292,-13.256466458690921,-13.025541680785164,-13.025541680785164,-0.2309247939471284,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49922516999868094,False,,exact_efim,245.13746990163102,3677062.0485244654,0.9999999994472177,3.3571428555634792,1095295.078799168,88842381045.25015,2.3437898155424804e+18,2.3437898155424804e+18,2.3424244095004324e+18,4.266594185914856e-19,0.09791097512740048,-13.025541680785164,-5.373116773717209,0.03371311447660035,1.9786035923207585e-05,64,-7194.186192914549,88790624779.38232,88790624730.30045,3.6770620485244656,1.0952950787991682,88842381045.25015,2.3437898155424804e+18,2.3424244095004324e+18,2.3437898155424804e+18,0.05825633480415012,7194.186192914549,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.908392131391063e-09,False,False,True,-13.256466474732292,-13.256466458690921,-13.025541680785164,-13.025541680785164,-0.2309247939471284,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.376058521032859,-0.2309247939471284,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49922516999868094,0.0,249.0,-13.025541680785164,-13.256466458690921,,0.0
uniform,Uniform,ok,ok,1.2729000445688143e-05,False,,none,311.2091409363667,4668137.1140455,1.0,3.357142857142857,1390508.9275880211,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,4.6681371140455,1.3905089275880211,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,2,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00019400900055188686,False,,none,311.28520881172915,4669278.132175937,0.999999999999205,3.3571428571405857,1390848.8053299435,78893840850.61153,2.0813330138069123e+18,2.0813330138069123e+18,2.0813305641222047e+18,4.804613165535322e-19,0.10390104624535748,-12.255587407325322,-8.940985479108964,0.016201426296543534,4.5932658191341223e-07,64,-304.7234375412676,78893747994.30087,78893747994.23814,4.669278132175937,1.3908488053299435,78893840850.61153,2.0813330138069123e+18,2.0813305641222047e+18,2.0813330138069123e+18,0.0001176978739746863,304.7234375412676,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.11146308426913376,False,False,True,-13.256466474732292,-12.469929055656602,-12.255587407325322,-12.255587407325322,-1.00087906740697,False,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,2,natural_tdl,0.01639865113536442,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007825778997357702,False,,conventional_s2,310.4598392674096,4656897.589011144,0.9999999989288177,3.3571428540823365,1387160.9852253639,88790624869.84058,2.3424244131817006e+18,2.3424244131817006e+18,2.342421971045272e+18,4.2690811894404146e-19,0.09793950719012101,-10.12163403498131,-6.219746533863933,0.02176836905915448,7.608855302152964e-06,64,-304.2535992597577,88790532394.69885,88790532299.58801,4.656897589011144,1.387160985225364,88790624869.84058,2.3424244131817016e+18,2.342421971045272e+18,2.3424244131817006e+18,0.00010425678689144386,304.2535992597577,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-1.0429046974023557e-06,True,False,True,-13.256466474732292,-10.654067627687098,-10.12163403498131,-10.12163403498131,-3.1348324397509817,False,0.25,4,32,-1.4322916666666667e-06,1.0416666666666667e-06,2,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4829465960028756,False,,conventional_s2,308.7856934334651,4631785.401501977,0.9999999994254005,3.3571428555011447,1379680.7585688983,88790624855.46005,2.342424412802323e+18,2.342424412802323e+18,2.342420068950053e+18,4.2690811901318326e-19,0.09793950719805213,-13.023359906648713,-5.41424062519789,0.03341782544723393,1.9174594195118818e-05,64,-405.77780345485536,88790460250.85332,88790460199.83437,4.631785401501977,1.3796807585688984,88790624855.46005,2.342424412802323e+18,2.342420068950053e+18,2.342424412802323e+18,0.00018544258018909988,405.77780345485536,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-1.8549245892099703e-06,True,False,True,-13.256466474732292,-13.256466460709548,-13.023359906648713,-13.023359906648713,-0.23310656808357955,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,2,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.027078068000264466,False,,exact_efim,310.45982855578904,4656897.4283368355,0.9999999990941004,3.357142854554573,1387160.937169805,88790672659.72888,2.342425673947703e+18,2.342425673947703e+18,2.342424391348566e+18,4.269078891688779e-19,0.09793948083308034,-10.121620880012651,-6.219715000573825,0.021777694383119,7.60883205112257e-06,64,-220.49372534727456,88790624122.6814,88790624042.246,4.656897428336835,1.387160937169805,88790672659.72888,2.342425673947703e+18,2.342424391348566e+18,2.342425673947703e+18,5.475516901274518e-05,220.49372534727456,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-9.657571255267406e-09,False,False,True,-13.256466474732292,-10.654073622301432,-10.121620880012651,-10.121620880012651,-3.134845594719641,False,0.25,4,32,-1.4322916666666667e-06,1.0416666666666667e-06,2,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4916632819986262,False,,exact_efim,308.78565724674195,4631784.858701129,0.9999999994460097,3.357142855560028,1379680.5968593403,88790655867.88548,2.342425230954718e+18,2.342425230954718e+18,2.342424407119225e+18,4.269079699045178e-19,0.09793949009410183,-13.02332879657683,-5.414265277363849,0.033353535761311455,1.9173735803668192e-05,64,-176.71402253106666,88790624689.22888,88790624640.03973,4.631784858701129,1.3796805968593404,88790655867.88548,2.342425230954718e+18,2.342424407119225e+18,2.342425230954718e+18,3.5170193801243496e-05,176.71402253106666,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-2.9249489678883234e-09,False,False,True,-13.256466474732292,-13.256466464035599,-13.02332879657683,-13.02332879657683,-0.23313767815546171,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,2,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
