method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
conventional_s2,independently_evaluated_unknown_fim,25,2.3452031962443116e+18,2.3422834859529897e+18,8.223081093760045e+16,2.311259985761188e+18,2.3791464067274353e+18,2.2851138349884708e+18,2.333979089826505e+18,2.342418391944753e+18,2.3424243907891067e+18,2.7121870582817306e+18,2.2013689252071398e+18,
conventional_s2,delay_fim_known_amplitude_per_s2,25,2.357216335825506e+18,2.3424244134489175e+18,7.395960064032147e+16,2.3266873131494774e+18,2.387745358501534e+18,2.342424409266084e+18,2.342424412700808e+18,2.342424414215159e+18,2.342424467531892e+18,2.712222418899043e+18,2.342424405024441e+18,
conventional_s2,range_rmse_bound_m,25,0.09766265329273831,0.09793950718453467,0.0013842692239483959,0.0970912550406957,0.09823405154478092,0.09793950605389846,0.09793950716851596,0.09793950720017434,0.09793950727197927,0.0979395073606533,0.09101816101778613,
conventional_s2,centroid_magnitude_hz,25,11955.624250380662,2311.238189982861,18040.070411926714,4509.0491754118975,19402.19932534943,44.67892089894877,931.1938576306541,17891.99606663426,46330.90949386775,73121.61206858416,27.809000230113632,
conventional_s2,dense_psl_db,25,-10.224577196460222,-10.512385623801212,1.0830514097206716,-10.671638845798562,-9.777515547121883,-10.74034586090476,-10.536176785403432,-10.471502259787881,-8.965563873346936,-5.4779972760569775,-11.238335592794098,
conventional_s2,fim_mismatch_percent,25,0.5128424463540631,0.006016200440209871,1.296828245485587,-0.022461943753196434,1.0481468364613225,2.5231471097019626e-06,0.0009765918426890986,0.3605375268029094,2.4466372652807444,6.0217733071583694,8.709709001859165e-07,
conventional_s2,solve_time_s,25,0.007476539559720549,0.007459880998794688,0.0002673633106013833,0.007366177409284089,0.00758690171015701,0.007048872399172979,0.007304879996809177,0.0076652989991998766,0.00785150920128217,0.007976154000061797,0.006858531000034418,
conventional_s2,physical_sensing_feasibility_rate,25,0.16,,,0.00555197402664781,0.3144480259733522,,,,,,,0.16
conventional_s2,dense_psl_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
conventional_s2,false_sensing_feasibility_rate,25,0.84,,,0.6855519740266478,0.9944480259733521,,,,,,,0.84
exact_efim,rate_spectral_efficiency,25,316.0207212232743,309.68519844341796,84.93761480728357,280.9601970175007,351.08124542904784,174.701483717512,266.5632008578425,391.4540987782509,433.2930971746914,442.501299503135,132.70562152637171,
exact_efim,rate_mbps,25,4.740310818349113,4.645277976651269,1.2740642221092533,4.21440295526251,5.266218681435716,2.6205222557626797,3.9984480128676374,5.871811481673764,6.499396457620371,6.637519492547025,1.9905843228955757,
exact_efim,tx_power_w,25,0.9999999986044097,0.999999998865617,8.058878707873043e-10,0.9999999982717556,0.9999999989370638,0.9999999971959763,0.9999999982984743,0.9999999992718791,0.9999999994104414,0.9999999995917319,0.9999999963391121,
exact_efim,ee_mbit_per_j,25,1.412007479278425,1.3836998241754928,0.37950849144011944,1.2553540733566482,1.5686608852002017,0.7805810991274709,1.191027068768401,1.7490502299519937,1.9359904349608632,1.9771334668510947,0.5929400125489191,
exact_efim,independently_evaluated_unknown_fim,25,2.3572152683769416e+18,2.342424407481615e+18,7.395432207569656e+16,2.3266884245853005e+18,2.3877421121685827e+18,2.3424243859034547e+18,2.3424244040712873e+18,2.342424411247115e+18,2.342424428322205e+18,2.7121960143402767e+18,2.3424243400501207e+18,
exact_efim,delay_fim_known_amplitude_per_s2,25,2.362704867963812e+18,2.3425164237782523e+18,7.41293406248714e+16,2.3321057800657905e+18,2.393303955861833e+18,2.342424439238841e+18,2.3424347011243443e+18,2.3467530481704883e+18,2.394967603483855e+18,2.7122313042725786e+18,2.342424419383622e+18,
exact_efim,range_rmse_bound_m,25,0.09754933696877391,0.09793758371140339,0.001390326376325401,0.0969754384471156,0.09812323549043221,0.0968592299499327,0.09784913976692618,0.097939292115366,0.09793950664538124,0.09793950706046621,0.0910180119281749,
exact_efim,centroid_magnitude_hz,25,7964.460460294517,1580.2972072137131,12275.18882416308,2897.511548714,13031.409371875034,30.370450111680093,623.9432184094724,12681.058953749873,37687.127631957475,45073.530850219926,19.69278196322823,
exact_efim,dense_psl_db,25,-10.190276445132552,-10.51233963566064,1.0857816062790817,-10.638465064220865,-9.742087826044239,-10.696725763484737,-10.534379301568748,-10.466738160226061,-8.725072815537292,-5.47794910901096,-10.855648415229586,
exact_efim,fim_mismatch_percent,25,0.23048566548602079,0.0028125368357514017,0.5818812037954338,-0.009703090424335092,0.47067442139637666,1.1505628212722175e-06,0.00043845105311521814,0.1807832080334335,1.6838247262167096,2.236922369631988,4.3676418992814795e-07,
exact_efim,solve_time_s,25,0.009056035119428998,0.009061554999789223,0.0004825182574065316,0.008856861371944878,0.009255208866913119,0.008301783000933937,0.008722589998797048,0.00937808599701384,0.009677335000742459,0.01032330400266801,0.008268633999250596,
exact_efim,physical_sensing_feasibility_rate,25,1.0,,,1.0,1.0,,,,,,,1.0
exact_efim,dense_psl_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
exact_efim,false_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
exact_efim_sampled_psl,rate_spectral_efficiency,25,314.3618458578549,308.45042978845595,85.66993701505044,278.9990339018297,349.7246578138801,171.23236849143677,265.64870267357156,390.14416959667096,432.00097829089435,441.21372668516307,125.87127413844959,
