asymmetry,method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min
0.0,uniform,fim_mismatch_percent,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,uniform,centroid_magnitude_hz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,uniform,rate_spectral_efficiency,8,316.854470918482,316.7773639643443,12.372974317874064,306.51040552595214,327.1985363110118,300.5148923456006,311.22484061472437,321.97150286032735,333.7824659407429,338.57968270990483,296.31834148063047
0.0,uniform,ee_mbit_per_j,8,1.415732742401728,1.4153882219683471,0.05528350227135221,1.369514577881914,1.4619509069215422,1.3427261147356622,1.3905790750870664,1.4385960766099732,1.491368464841617,1.5128028376400002,1.3239755683177103
0.0,uniform,dense_psl_db,8,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292
0.0,uniform,independently_evaluated_unknown_fim,8,2.0255998281153943e+18,2.0255998281153943e+18,0.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18
0.0,uniform,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.0,uniform,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.0,water_filling,fim_mismatch_percent,8,0.054181404211001045,0.04927315643213913,0.050165291689618884,0.012242170818822576,0.09612063760317952,0.0008931643951289692,0.024128345902738817,0.06958654752903647,0.12916387060112122,0.15783704810884827,0.0008219676194285986
0.0,water_filling,centroid_magnitude_hz,8,5572.411987153904,6128.511855749637,3401.5612721124535,2728.6355974625185,8416.18837684529,826.2370211653598,3934.0798975341963,7276.233042711126,9757.88918285692,10898.249989399676,798.968928078138
0.0,water_filling,rate_spectral_efficiency,8,317.6977249710832,318.0080900366432,12.363265473923791,307.36177637522064,328.0336735669457,301.03397751762014,312.04507777557615,323.1440402863483,334.2288646993351,338.9665599302668,296.81963623156093
0.0,water_filling,ee_mbit_per_j,8,1.4195004732749485,1.4208872108014017,0.05524012233015346,1.3733185752935557,1.4656823712563414,1.3450454314622524,1.3942439645295002,1.4438350736191305,1.4933630124865183,1.5145314379871107,1.3262153959288883
0.0,water_filling,dense_psl_db,8,-13.205477403174555,-13.268185191622669,0.47752223592944404,-13.604695982954969,-12.806258823394142,-13.701066797926462,-13.640849648853859,-12.858727892735327,-12.542718056187335,-12.390048442973747,-13.70657948580141
0.0,water_filling,independently_evaluated_unknown_fim,8,2.0111268632746977e+18,2.0135457656591027e+18,2.6186996174181464e+16,1.9892339865984448e+18,2.0330197399509507e+18,1.9795932482831839e+18,1.9898881520844472e+18,2.0288228594189317e+18,2.0432021078569987e+18,2.0488019277653796e+18,1.9782644112816197e+18
0.0,water_filling,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.0,water_filling,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
0.0,conventional_s2,fim_mismatch_percent,8,0.05617291075576049,0.05146807857691231,0.0493811660429563,0.014889222809378364,0.09745659870214261,0.0006308582328670975,0.02093304947303387,0.07880755385571325,0.1282225245113935,0.13379319270268417,0.0005033065448955277
0.0,conventional_s2,centroid_magnitude_hz,8,6093.785137850046,6739.585003402854,3816.0654674653356,2903.474568740362,9284.095706959732,741.7412466222863,3933.667411364685,8289.63377837119,10665.262088552108,10899.34915162989,668.4975891085892
0.0,conventional_s2,rate_spectral_efficiency,8,316.4331444533834,316.83907553374195,12.388715706187424,306.0759189308881,326.7903699758787,299.68841289040506,310.954860284375,321.65760328219665,332.96438260359616,337.80668403139697,295.3400567431619
0.0,conventional_s2,ee_mbit_per_j,8,1.4138502206164225,1.4156639553706356,0.05535383608929822,1.3675732555533076,1.4601271856795375,1.339033335099208,1.3893727804952085,1.437193546987176,1.4877131996343245,1.5093490144901356,1.319604509681024
0.0,conventional_s2,dense_psl_db,8,-10.395856046028277,-10.482418395147992,0.3551658646870803,-10.692782139555383,-10.09892995250117,-10.79358050398701,-10.630096902728681,-10.163364560778248,-9.89515619971355,-9.882049669775437,-10.8227795281609
