method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
uniform,rate_spectral_efficiency,60,309.30588199033514,300.75265701254807,91.72455168509339,285.61091772476186,333.0008462559084,169.28145024976482,232.15185984938478,391.3756561372485,440.82671577105964,488.795645429046,132.48162660276188,
uniform,rate_mbps,60,4.639588229855026,4.51128985518822,1.3758682752764007,4.284163765871427,4.995012693838626,2.5392217537464723,3.4822778977407713,5.8706348420587275,6.6124007365658946,7.33193468143569,1.9872243990414282,
uniform,tx_power_w,60,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
uniform,system_power_w,60,3.357142857142857,3.357142857142857,0.0,3.357142857142857,3.357142857142857,3.357142857142857,3.357142857142857,3.357142857142857,3.357142857142857,3.357142857142857,3.357142857142857,
uniform,ee_mbit_per_j,60,1.3820050046376677,1.3437884675028746,0.4098331032738215,1.276133887706383,1.4878761215689524,0.7563639266478854,1.037274267412145,1.748699740187706,1.969651283232394,2.1839805434063755,0.5919391826931913,
uniform,delay_fim_known_amplitude_per_s2,60,2.025599828115394e+18,2.0255998281153943e+18,258.1603758538807,2.025599828115394e+18,2.025599828115394e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,
uniform,independently_evaluated_unknown_fim,60,2.025599828115394e+18,2.0255998281153943e+18,258.1603758538807,2.025599828115394e+18,2.025599828115394e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,
uniform,range_rmse_bound_m,60,0.10532073506634211,0.10532073506634214,2.798980403504518e-17,0.1053207350663421,0.10532073506634212,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,
uniform,centroid_magnitude_hz,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
uniform,dense_psl_db,60,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,
uniform,fim_mismatch_percent,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
uniform,solve_time_s,60,1.4008433390699793e-05,1.3881501217838377e-05,6.704200367209282e-07,1.3835245530730036e-05,1.418162125066955e-05,1.3191750622354447e-05,1.3564999790105503e-05,1.4332501450553536e-05,1.5062402053445111e-05,1.6343998140655458e-05,1.2953998520970345e-05,
uniform,physical_sensing_feasibility_rate,60,0.0,,,0.0,0.0,,,,,,,0.0
uniform,dense_psl_feasibility_rate,60,1.0,,,1.0,1.0,,,,,,,1.0
uniform,false_sensing_feasibility_rate,60,0.0,,,0.0,0.0,,,,,,,0.0
water_filling,rate_spectral_efficiency,60,310.2402317801438,301.45015235964,90.74214765921971,286.7990493849617,333.6814141753259,174.3947760276516,232.27156793281097,391.392907825524,440.8277402010064,488.7957263126935,136.35592367341107,
water_filling,rate_mbps,60,4.653603476702157,4.521752285394601,1.3611322148882956,4.301985740774425,5.005221212629889,2.6159216404147743,3.4840735189921643,5.87089361738286,6.6124161030150965,7.331935894690403,2.045338855101166,
water_filling,tx_power_w,60,0.9999999999999699,0.9999999999999802,5.014673290142679e-13,0.9999999999998403,1.0000000000000995,0.9999999999992365,0.9999999999995592,1.0000000000002605,1.0000000000008973,1.0000000000009852,0.999999999999048,
water_filling,system_power_w,60,3.3571428571427715,3.357142857142801,1.432770670908761e-12,3.3571428571424016,3.3571428571431414,3.357142857140676,3.3571428571415978,3.3571428571436015,3.3571428571454214,3.3571428571456723,3.357142857140137,
water_filling,ee_mbit_per_j,60,1.3861797590177287,1.3469049360755676,0.4054436384774837,1.281442561081778,1.4909169569536795,0.7792107014001244,1.0378091333165853,1.7487768221987199,1.969655860473001,2.183980904802112,0.6092498717321342,
water_filling,delay_fim_known_amplitude_per_s2,60,2.0137279679562284e+18,2.0251063786858445e+18,1.560559401709246e+17,1.973414443846833e+18,2.0540414920656238e+18,1.6945054463553574e+18,2.0074655632621266e+18,2.0385092142344422e+18,2.1672531373685092e+18,2.5602963767716444e+18,1.495521790689553e+18,
water_filling,independently_evaluated_unknown_fim,60,1.9941987208391974e+18,2.0241690396502543e+18,1.7852963168803606e+17,1.948079626600207e+18,2.0403178150781878e+18,1.5671003399508872e+18,1.9925388629728906e+18,2.032247250317778e+18,2.1469120052883028e+18,2.56029592874945e+18,1.381513624884544e+18,
water_filling,range_rmse_bound_m,60,0.10587782509006911,0.10533356588491655,0.004340408809253665,0.10475657859996543,0.1069990715801728,0.10182741192023825,0.1049868969831954,0.10579557962374211,0.11515146150507566,0.12257286421950943,0.09367972052937566,
water_filling,centroid_magnitude_hz,60,13811.11665847529,3701.474168301606,23639.61917841666,7704.355476284914,19917.877840665664,133.92272934148727,640.5600300073025,14708.338218522986,69478.34715928278,112688.92248319348,128.7185599506903,
water_filling,dense_psl_db,60,-12.98419764680482,-13.266969766412835,1.561775632866459,-13.3876470737223,-12.580748219887338,-14.843680600565486,-13.520897391957945,-13.033323190487316,-9.641303853269482,-6.153491111343552,-15.72088459638505,
water_filling,fim_mismatch_percent,60,1.0448159360473106,0.01787012181299917,2.8656406222235593,0.30454246624961256,1.7850894058450086,2.3345923881702967e-05,0.0005339542481560939,0.2984455797913756,7.640628244458489,16.044240899204084,1.7498841081083152e-05,
water_filling,solve_time_s,60,0.000194329816501219,0.00019794299987552222,1.12235925698655e-05,0.0001914304550980982,0.00019722917790433977,0.00017263910158362705,0.00018927224937215215,0.00020053499883943005,0.00020471269872359698,0.00022090999846113846,0.0001561980025144294,
water_filling,physical_sensing_feasibility_rate,60,0.03333333333333333,,,-0.013429177725253691,0.08009584439192036,,,,,,,0.03333333333333333
water_filling,dense_psl_feasibility_rate,60,0.75,,,0.6371969829005951,0.8628030170994049,,,,,,,0.75
water_filling,false_sensing_feasibility_rate,60,0.0,,,0.0,0.0,,,,,,,0.0
conventional_s2,rate_spectral_efficiency,60,308.80595731882966,299.8523756140639,90.87752915324782,285.3298021753017,332.2821124623576,173.73845226136442,231.10661044980444,390.03454698136954,439.50273063933815,487.4948748344411,136.15333812751746,
conventional_s2,rate_mbps,60,4.632089359782445,4.497785634210958,1.3631629372987175,4.279947032629526,4.984231686935365,2.606076783920466,3.4665991567470664,5.850518204720543,6.592540959590072,7.312423122516616,2.042300071912762,
conventional_s2,tx_power_w,60,0.9999999985488867,0.9999999990181565,1.1155780779403752e-09,0.9999999982607023,0.999999998837071,0.9999999964056582,0.999999997946094,0.9999999993850018,0.9999999995958185,0.9999999998631571,0.9999999958619523,
conventional_s2,system_power_w,60,3.35714285299682,3.35714285433759,3.187365935120911e-09,3.357142852173436,3.357142853820204,3.3571428468733093,3.3571428512745545,3.3571428553857197,3.3571428559880534,3.3571428567518775,3.357142845319864,
conventional_s2,ee_mbit_per_j,60,1.3797713000576908,1.3397659348101634,0.40604853406529456,1.2748778410218025,1.484664759093579,0.776278192275925,1.0326040067240259,1.7427075511633183,1.9637356058759068,2.1781685899394745,0.60834470441432,
conventional_s2,delay_fim_known_amplitude_per_s2,60,2.347153010103615e+18,2.3424244129866644e+18,2.9245365110647684e+16,2.3395981311917015e+18,2.3547078890155284e+18,2.3424244063005245e+18,2.342424411488686e+18,2.3424244139518167e+18,2.3424244146948326e+18,2.56029688681469e+18,2.3424244050045435e+18,
conventional_s2,independently_evaluated_unknown_fim,60,2.317061306548521e+18,2.3420784068766684e+18,8.961172617628741e+16,2.2939121429874573e+18,2.340210470109585e+18,2.060271493314602e+18,2.336711893876228e+18,2.3424140599544463e+18,2.342423970511228e+18,2.5602964365132534e+18,1.9996368282362237e+18,
