method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,total_solve_time_s
conventional_s2,Conventional $S_2$,ok,optimal,0.007395840999379288,False,,conventional_s2,358.1952572947323,5372928.859420984,0.9999999989926254,3.357142854264644,1600446.8956677394,88790624859.33209,2.3424244129044726e+18,2.3424244129044726e+18,2.3424103695703455e+18,4.2690811899456645e-19,0.09793950719591663,-10.549676803784111,-6.235751922922232,0.022700148971270536,7.653382194012105e-06,64,-729.6017685340354,88790092630.03687,88790092540.59198,5.372928859420984,1.6004468956677393,88790624859.33209,2.3424244129044726e+18,2.3424103695703455e+18,2.3424244129044726e+18,0.0005995213356614171,729.6017685340354,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-5.995668533621975e-06,True,False,True,-13.256466474732292,-11.014245034370191,-10.541860146347833,-10.541860146347833,-2.714606328384459,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.49197601700143423,False,,conventional_s2,356.9461497844976,5354192.246767464,0.9999999994912387,3.3571428556892537,1594865.7763234198,88790624863.8338,2.342424413023234e+18,2.342424413023234e+18,2.342408644246305e+18,4.269081189729221e-19,0.09793950719343385,-13.023501946654099,-5.415521312920681,0.033334073627840785,1.9157726101338967e-05,64,-773.1250912311749,88790027186.60034,88790027141.42741,5.3541922467674645,1.5948657763234197,88790624863.8338,2.342424413023234e+18,2.342408644246305e+18,2.342424413023234e+18,0.0006731818897382536,773.1250912311749,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-6.732223374159759e-06,True,False,True,-13.256466474732292,-13.25646646987968,-13.023501946654099,-13.023501946654099,-0.23296452807819357,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.009389774000737816,False,,exact_efim,358.1951833398918,5372927.750098377,0.9999999996507083,3.357142856144881,1600446.564334855,88790866483.19238,2.3424307872894935e+18,2.3424307872894935e+18,2.342424415568653e+18,4.2690695726260243e-19,0.0979393739359382,-10.549663470158723,-6.235669205059915,0.022735448567229765,7.653079557815413e-06,64,-491.4497669650913,88790624991.33284,88790624960.31902,5.372927750098377,1.6004465643348549,88790866483.19238,2.3424307872894935e+18,2.342424415568653e+18,2.3424307872894935e+18,0.00027201319566316556,491.4497669650913,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,6.821804308687461e-10,False,False,True,-13.256466474732292,-11.014233915844303,-10.541845981812672,-10.541845981812672,-2.71462049291962,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.47212579999904847,False,,exact_efim,356.946017768734,5354190.26653101,0.999999999589682,3.3571428559705203,1594865.1863321322,88790734566.08081,2.3424273071263217e+18,2.3424273071263217e+18,2.3424244110489866e+18,4.269075915217173e-19,0.09793944669057067,-13.023492084923571,-5.415443503841554,0.03329336313031191,1.9157315512584422e-05,64,-331.3262467517703,88790624825.43146,88790624788.99907,5.354190266531011,1.5948651863321321,88790734566.08081,2.3424273071263217e+18,2.3424244110489866e+18,2.3424273071263217e+18,0.000123635739996256,331.3262467517703,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.2473017539325177e-09,False,False,True,-13.256466474732292,-13.256466469394494,-13.023492084923571,-13.023492084923571,-0.23297438980872087,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49307602999761,False,,exact_efim,356.946017768734,5354190.26653101,0.999999999589682,3.3571428559705203,1594865.1863321322,88790734566.08081,2.3424273071263217e+18,2.3424273071263217e+18,2.3424244110489866e+18,4.269075915217173e-19,0.09793944669057067,-13.023492084923571,-5.415443503841554,0.03329336313031191,1.9157315512584422e-05,64,-331.3262467517703,88790624825.43146,88790624788.99907,5.354190266531011,1.5948651863321321,88790734566.08081,2.3424273071263217e+18,2.3424244110489866e+18,2.3424273071263217e+18,0.000123635739996256,331.3262467517703,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.2473017539325177e-09,False,False,True,-13.256466474732292,-13.256466469394494,-13.023492084923571,-13.023492084923571,-0.23297438980872087,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.4182916222678,-0.23297438980872087,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49307602999761,0.0,249.0,-13.023492084923571,-13.256466469394494,,0.0,,,,,
exact_efim_cutting_plane_psl_ee,Exact EFIM+cutting-plane PSL+EE,ok,optimal,0.8183986350013583,False,,exact_efim,342.417177471458,5136257.66207187,0.9195472692960671,3.1272779122744776,1642405.2502376598,88790651558.70224,2.342425117272265e+18,2.342425117272265e+18,2.342424411967595e+18,4.26907990623193e-19,0.0979394924706989,-13.022158356460467,-0.7397016856831047,0.06249999992488216,9.943796774199981e-05,64,-170.51088699001562,96559065301.54826,88790624823.81934,5.13625766207187,1.6424052502376598,88790651558.70224,2.342425117272265e+18,2.342424411967595e+18,2.342425117272265e+18,3.011001995356511e-05,170.51088699001562,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-8.551403768049433e-10,False,False,True,-13.256466474732292,-13.256466463907834,-13.022158356460467,-13.022158356460467,-0.23430811827182474,True,0.25,4,32,-3.3203125000000002e-06,1.0416666666666667e-06,1,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-0.7433491475348522,-0.23430811827182474,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.8183986350013583,0.0,249.0,-13.022158356460467,-13.256466463907834,,0.0,4.0,True,1642405.2506891557,-0.0014119530096650124,0.755534338997677
uniform,Uniform,ok,ok,1.3872999261366203e-05,False,,none,132.48162660276188,1987224.3990414282,1.0,3.357142857142857,591939.1826931913,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,1.9872243990414282,0.5919391826931913,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,2,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0002035369980148971,False,,none,136.35592367341107,2045338.855101166,1.000000000000247,3.357142857143563,609249.8717321341,81894197585.18878,2.1604867406066785e+18,2.1604867406066785e+18,1.9883003248974904e+18,4.628586610622723e-19,0.10197997581056129,-10.930625782350914,-5.976059346189883,0.021409066111862888,5.0735118251706714e-05,59,-80788.62305937421,75367395969.3389,75367395969.35751,2.045338855101166,0.6092498717321342,81894197585.18878,2.1604867406066785e+18,1.9883003248974904e+18,2.1604867406066785e+18,7.969797382826661,80788.62305937421,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.1511784486880934,False,False,True,-13.256466474732292,-10.991166371947967,-10.930625782350914,-10.930625782350914,-2.3258406923813784,False,0.25,4,32,-1.2369791666666668e-06,1.0416666666666667e-06,2,natural_tdl,0.0234701245951831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007865755000239005,False,,conventional_s2,136.15333812751746,2042300.0719127618,0.9999999958619523,3.357142845319864,608344.70441432,88790624690.80081,2.342424408458374e+18,2.342424408458374e+18,2.1725622145741123e+18,4.2690811980487027e-19,0.09793950728886491,-9.867665807383418,-4.784276086741995,0.024574135165082327,5.6194637779623206e-05,64,-80241.51665252441,82351924063.5233,82351923722.74712,2.042300071912762,0.60834470441432,88790624690.80081,2.342424408458375e+18,2.1725622145741123e+18,2.342424408458374e+18,7.251554981706058,80241.51665252441,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,False,False,-0.07251555199966823,True,True,True,-13.256466474732292,-9.867665807383418,-9.846594775361169,-9.846594775361169,-3.4098716993711236,False,0.25,4,32,-1.2695312500000002e-06,1.0416666666666667e-06,2,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4946342500006722,False,,conventional_s2,134.35431768989787,2015314.765348468,0.9999999996553396,3.3571428561581134,600306.5260245665,88790624868.6687,2.342424413150786e+18,2.342424413150786e+18,2.2129463167019681e+18,4.2690811894967567e-19,0.09793950719076729,-13.11239261374615,-4.599491780065892,0.048543551718042484,4.746146600021876e-05,64,-70056.57743746188,83882700857.02022,83882700828.10918,2.0153147653484678,0.6003065260245665,88790624868.6687,2.342424413150786e+18,2.2129463167019681e+18,2.342424413150786e+18,5.527525060014955,70056.57743746188,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,False,False,-0.05527525093082825,True,True,True,-13.256466474732292,-13.256466462107987,-13.11239261374615,-13.11239261374615,-0.1440738609861416,True,0.25,4,32,-3.4505208333333336e-06,1.0416666666666667e-06,2,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
