method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate,num_subcarriers
exact_efim_sampled_psl,fim_mismatch_percent,8,0.07165469500953134,0.00045655850066601405,0.18765215737235474,-0.08522643454270828,0.22853582456177096,2.3409765069262353e-05,9.887162661554765e-05,0.009947055023826248,0.3602981287906263,0.5350595405979023,7.296175479798054e-06,,64
exact_efim_sampled_psl,centroid_magnitude_hz,8,3804.65948220729,618.5959825913556,7518.973693907603,-2481.3598350828975,10090.678799497477,128.4826350141857,293.0715860694679,2229.425002397932,16177.742173421953,21854.939001255178,80.48801325389422,,64
exact_efim_sampled_psl,dense_psl_db,8,-13.040332908145007,-13.023504934878332,0.045015225516619635,-13.07796657846878,-13.002699237821234,-13.109111539872451,-13.02526511041084,-13.02342531249479,-13.023393989013032,-13.02338032349791,-13.151586015163232,,64
exact_efim_sampled_psl,ee_mbit_per_j,8,1.5362611819522634,1.5674035111072324,0.4451130824688004,1.1641373325172553,1.9083850313872714,0.8896422481619595,1.349509436471586,1.853059126668452,2.034339014910209,2.1289897968579687,0.7450580410082969,,64
exact_efim_sampled_psl,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
exact_efim_sampled_psl,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
exact_efim_sampled_psl,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
exact_efim_cutting_plane_psl,rate_spectral_efficiency,8,343.8298834401493,350.7998332825741,99.62054698348214,260.5450219377626,427.11474494253594,199.1104078758969,302.03306420663847,414.73228051171964,455.304446052832,476.4881924978488,166.75108533939442,,64
exact_efim_cutting_plane_psl,independently_evaluated_unknown_fim,8,2.342424411109331e+18,2.342424410953832e+18,1270975947.4476793,2.3424244100467686e+18,2.342424412171893e+18,2.342424409618001e+18,2.3424244102929664e+18,2.342424411759459e+18,2.3424244129120123e+18,2.342424412923667e+18,2.3424244095486863e+18,,64
exact_efim_cutting_plane_psl,fim_mismatch_percent,8,0.07165469500953134,0.00045655850066601405,0.18765215737235474,-0.08522643454270828,0.22853582456177096,2.3409765069262353e-05,9.887162661554765e-05,0.009947055023826248,0.3602981287906263,0.5350595405979023,7.296175479798054e-06,,64
exact_efim_cutting_plane_psl,centroid_magnitude_hz,8,3804.65948220729,618.5959825913556,7518.973693907603,-2481.3598350828975,10090.678799497477,128.4826350141857,293.0715860694679,2229.425002397932,16177.742173421953,21854.939001255178,80.48801325389422,,64
exact_efim_cutting_plane_psl,dense_psl_db,8,-13.040332908145007,-13.023504934878332,0.045015225516619635,-13.07796657846878,-13.002699237821234,-13.109111539872451,-13.02526511041084,-13.02342531249479,-13.023393989013032,-13.02338032349791,-13.151586015163232,,64
exact_efim_cutting_plane_psl,ee_mbit_per_j,8,1.5362611819522634,1.5674035111072324,0.4451130824688004,1.1641373325172553,1.9083850313872714,0.8896422481619595,1.349509436471586,1.853059126668452,2.034339014910209,2.1289897968579687,0.7450580410082969,,64
exact_efim_cutting_plane_psl,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
exact_efim_cutting_plane_psl,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
exact_efim_cutting_plane_psl,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
uniform,rate_spectral_efficiency,8,556.1367713820366,541.1765307840177,102.39415169712343,470.53311831071505,641.7404244533582,454.4576201151799,499.9923339400473,573.3078860070287,712.6432509407639,775.5832024979047,431.3923378025915,,128
