scenario,iterations,converged,q_final_bit_per_j,achieved_ee_bit_per_j,final_residual_bps,final_residual_relative,tx_power_w,rate_bps,feasible,solver_status
loose sensing (0.2 S_max),6,True,2374339.046788994,2374339.0468739276,0.00011619599536061287,3.577134953649022e-11,0.3038297716862537,3248297.7820582855,True,optimal
default sensing (0.6 S_max),5,True,1546345.0432146734,1546345.0432223314,2.0106323063373566e-05,4.952421745232894e-12,0.7439178173524437,4059897.1771189575,True,optimal
strict sensing (0.95 S_max),3,True,1056853.7203857563,1056853.720382708,-1.0233838111162186e-05,2.8843890614204403e-12,0.9999999996586852,3548008.917397035,True,optimal
default + R_min (0.9 C_WF),4,True,1520103.4434734315,1520103.4433937399,-0.00023191794753074646,5.242504730369111e-11,0.8435689415251526,4423800.443846576,True,optimal
"default, P_max x10",6,True,1546345.0431562476,1546345.043151783,-1.1721625924110413e-05,2.8871745153750357e-12,0.743917367351122,4059895.188769982,True,optimal
