sensing_fraction,gamma_s,status,solver_status,meets_constraints,dinkelbach_iterations,dinkelbach_converged,q_final_bit_per_j,final_residual_bps,total_solve_time_s,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,max_rate_ee_bit_per_j,max_rate_rate_se,max_rate_tx_power_w
0.0,0.0,ok,optimal,True,6,True,2844577.111895469,-2.4094246327877045e-05,0.018162268000651238,163.47722205494432,2452158.3308241647,0.1267163472938853,0.8620467065539581,2844577.111867519,9262682909.81411,2.4436289992682928e+17,2.4436289992682928e+17,2.4424189803227862e+17,4.0922742376172265e-18,0.30323063268202904,-11.967799409385961,-6.583968622347282,0.002560225601705306,4.90970686668651e-07,62,1464141.9897210298,327.6889212896415,0.9999999992134695
0.041625,7391819531.25,ok,optimal,True,6,True,2844577.1118850196,1.3836193829774857e-05,0.016469552000216936,163.4772210745816,2452158.3161187237,0.1267163454809525,0.8620467013741501,2844577.1119010695,9262682604.033962,2.4436289185990912e+17,2.4436289185990912e+17,2.4424188975812336e+17,4.092274372711591e-18,0.30323063768716146,-11.967799976884677,-6.583968868818772,0.002560225622476545,4.909706785072109e-07,61,1464141.9897135433,327.68892137600426,0.99999999952915
0.08325,14783639062.5,ok,optimal,True,6,True,2784477.351614049,0.0004388834349811077,0.016524067999853287,181.70020263260665,2725503.0394890998,0.167587115357438,0.9788203295926801,2784477.352062429,14783639051.282421,3.9001366507054394e+17,3.9001366507054394e+17,3.888407861367521e+17,2.5640127245775463e-18,0.2400218591379318,-9.170040514446393,-4.357953413623584,0.004802488350723835,9.608175659963204e-07,63,1464141.9895194408,327.688921327643,0.9999999995115111
0.12487500000000001,22175458593.750004,ok,optimal,True,5,True,2638232.0674319803,0.021955495700240135,0.015236904000175855,197.3829196759404,2960743.795139106,0.21778588620255285,1.1222453891501512,2638232.086995879,22175458578.533096,5.85020497648276e+17,5.85020497648276e+17,5.833395362271775e+17,1.709341816260969e-18,0.19597702732692573,-7.628567175766322,-2.5390873599165147,0.007999399258401272,2.436762496387382e-06,63,1464141.989492835,327.68892139786414,0.9999999997846557
0.1665,29567278125.0,ok,optimal,True,5,True,2487658.6628774353,0.013098868541419506,0.0148518149994743,208.90355986314904,3133553.3979472355,0.26587386306783034,1.2596396087652297,2487658.673276337,29567278103.93939,7.800273301773505e+17,7.800273301773505e+17,7.78651410025225e+17,1.2820063622291741e-18,0.16972108422548882,-6.774259704646303,-1.1963283620782619,0.011998668978134034,5.455367730778139e-06,63,1464141.9896046915,327.68892128283073,0.9999999992824115
0.208125,36959097656.25,ok,optimal,True,5,True,2348167.085274912,0.0063777524046599865,0.01396404299975984,218.24777595336963,3273716.6393005443,0.31295540517885784,1.3941583005110223,2348167.0898495377,36959097640.678505,9.750341630054013e+17,9.750341630054013e+17,9.738660412900334e+17,1.025605089484911e-18,0.1518031525951784,-6.189217135151422,-0.06379079240056618,0.017411102591244485,1.0834464152199106e-05,63,1464141.989670905,327.688921282295,0.9999999992273533
0.24975000000000003,44350917187.50001,ok,optimal,True,5,True,2222257.2685474236,0.002911260351538658,0.015212868000162416,226.16320689423685,3392448.103413553,0.3593021494320129,1.526577569805751,2222257.2704544743,44350917164.068085,1.1700409954812718e+18,1.1700409954812718e+18,1.1690242011629706e+18,8.546709079955536e-19,0.13857668496871164,-5.799805002655168,0.8730913389899639,0.023466181002205783,1.9070743295740925e-05,64,1464141.989826672,327.6889213265255,0.9999999992609452
0.291375,51742736718.75,ok,optimal,True,5,True,2109332.5137421014,0.0010057231411337852,0.016215902000112692,233.06535671399251,3495980.3507098877,0.4050854604121751,1.6573870297490718,2109332.514348914,51742736703.00366,1.3650478283672684e+18,1.3650478283672684e+18,1.3641466621027576e+18,7.325750638320846e-19,0.12829708028951212,-5.452569299612929,1.6552307179152392,0.030070998294591377,3.061433082803538e-05,64,1464141.9895124468,327.68892139308275,0.9999999997517721
0.333,59134556250.0,ok,optimal,True,5,True,2008000.7818623201,0.0003901035524904728,0.016907858999729797,239.20822752557854,3588123.412883678,0.4504196739943594,1.7869133542695983,2008000.7820806315,59134556222.947685,1.56005466075224e+18,1.56005466075224e+18,1.559244863012121e+18,6.410031809512441e-19,0.12001092955088549,-5.188930899641897,2.3173259323097803,0.03714511274858649,4.58679403768658e-05,63,1464141.9896455398,327.6889212842177,0.9999999992546034
0.37462500000000004,66526375781.25001,ok,optimal,True,5,True,1916782.2626680078,0.0004965350963175297,0.015440004000083718,244.7596902804109,3671395.3542061634,0.49538828500518817,1.9153951000148235,1916782.2629272414,66526375740.47451,1.755061493073443e+18,1.755061493073443e+18,1.7543257482668777e+18,5.697806053785681e-19,0.11314738947803735,-4.981127196373924,2.8851877748840793,0.044618490979225274,6.518657034693888e-05,64,1464141.989829467,327.68892134086445,0.9999999993101181
0.41625,73918195312.5,ok,optimal,True,5,True,1834325.1445747705,5.7777855545282364e-05,0.015677958999731345,249.834621585431,3747519.3237814647,0.5400486745398401,2.042996212970972,1834325.1446030515,73918195276.50232,1.9500683258827284e+18,1.9500683258827284e+18,1.9493938392389253e+18,5.128025447761348e-19,0.10734103860907182,-4.812476992374979,3.378064360271919,0.05243411557575933,8.888477255444259e-05,64,1464141.9894612217,327.68892135102755,0.9999999996420832
0.45787500000000003,81310014843.75,ok,optimal,True,5,True,1759457.2251124203,0.00039605284109711647,0.014445571999658569,254.51676380751928,3817751.457112789,0.5844461466748534,2.169846133356724,1759457.225294946,81310014797.08325,2.145075158284503e+18,2.145075158284503e+18,2.1444524029822323e+18,4.661841316551991e-19,0.1023456646089658,-4.672408829822064,3.810219644682868,0.06054384475940347,0.00011723815606397346,64,1463105.9580270073,327.4570475346927,0.9999999992313633
0.49950000000000006,88701834375.00002,ok,optimal,True,5,True,1691034.2944495485,-0.0008864738047122955,0.01609620800036282,259.4863652234007,3892295.4783510105,0.6306036605553084,2.3017247444437383,1691034.294064414,88701834358.38123,2.3400819917604516e+18,2.3400819917604516e+18,2.3398534754730435e+18,4.2733545385206637e-19,0.09798851363902211,-4.526394995925561,3.880778246614284,0.06249999967294823,0.00013912990483275534,64,1458330.582371243,326.38827303635895,0.9999999994203467
0.5411250000000001,96093653906.25002,ok,optimal,True,5,True,1627803.657417735,-0.0003884746693074703,0.014968326000598609,264.41007692734144,3966151.1539101214,0.6777766218479958,2.436504633851417,1627803.657258296,96093653883.97182,2.5350888242943887e+18,2.5350888242943887e+18,2.534876428026546e+18,3.944634958809926e-19,0.09414431870082116,-4.385910780181784,3.8156618869833157,0.06249999979169315,0.0001580034224492689,64,1450008.3045714013,324.5256679663424,0.9999999992771773
0.58275,103485473437.5,ok,optimal,True,5,True,1569301.44503338,0.0003075050190091133,0.015316486000301666,268.9037446040573,4033556.1690608594,0.7246006876382156,2.5702876789663303,1569301.4451530185,103485473411.919,2.7300956568904955e+18,2.7300956568904955e+18,2.729897225065501e+18,3.662875318951178e-19,0.09071973547655775,-4.266445520555554,3.839715033129234,0.06249999981840769,0.0001819934740243013,64,1438401.3898598214,321.9279298900639,0.9999999991918427
0.624375,110877292968.75,ok,optimal,True,5,True,1515106.6193799817,0.00041713006794452667,0.014324125000257482,273.1110591151005,4096665.8867265075,0.7713578614652487,2.703879604186425,1515106.6195342527,110877292921.29369,2.9251024889966326e+18,2.9251024889966326e+18,2.9250640676538337e+18,3.418683631639244e-19,0.08764359101495331,-4.161740493288994,3.9047360223980494,0.062499999747926895,0.00021021820079265965,64,1423640.8692073727,318.62438468481133,0.9999999987894395
0.666,118269112500.0,ok,optimal,True,4,True,1464574.353671447,0.016328911762684584,0.0132954789996802,277.7247910497734,4165871.865746601,0.8205487364919963,2.844424961405704,1464574.3594121193,118269112474.24033,3.1201093222522614e+18,3.1201093222522614e+18,3.1200854377131213e+18,3.2050159039880904e-19,0.08486054209176311,-4.052061610971601,3.7884025664485694,0.06249999989479746,0.00023081777725532864,64,1405813.1715794748,314.6343760966256,0.9999999985071997
0.7076250000000001,125660932031.25002,ok,optimal,True,4,True,1417108.8853933685,0.001843644306063652,0.014244548000078794,282.12452594965873,4231867.8892448805,0.8701940396797991,2.9862686847994264,1417108.8860107425,125660931988.96329,3.3151161544994944e+18,3.3151161544994944e+18,3.315093566581869e+18,3.0164855570527566e-19,0.08232681847347768,-3.9508585206121434,3.6887523050945106,0.06249999986474071,0.0002530402443907425,64,1384836.6704446692,309.9396355000797,0.9999999989911676
0.7492500000000001,133052751562.50002,ok,optimal,True,4,True,1372583.673418478,0.00014498084783554077,0.013467433000641904,286.14049352028974,4292107.402804346,0.9194597550030527,3.1270278714372934,1372583.673464842,133052751534.28561,3.5101229875539825e+18,3.5101229875539825e+18,3.510101544634595e+18,2.848903025750806e-19,0.08000728635743944,-3.8617925625689384,3.670423208023455,0.06249999991652963,0.0002816145407268627,64,1359690.0257537742,304.3115767649616,0.9999999983491559
0.790875,140444571093.75,ok,optimal,True,4,True,1330569.30120351,0.000418870709836483,0.013178168000195,290.7441851295897,4361162.776943846,0.9721833676029461,3.277666764579846,1330569.3013313052,140444571034.6849,3.705129819423337e+18,3.705129819423337e+18,3.7051115154290217e+18,2.698960761800349e-19,0.07787337417043662,-3.771785935873542,3.4756903964075283,0.06249999986125302,0.00029886685755954465,64,1328813.0676734296,297.40101934739295,0.9999999977856429
0.8325,147836390625.0,ok,optimal,True,2,True,1289236.2899833356,-0.0005019120872020721,0.008052387000134331,288.5433599603832,4328150.399405749,0.9999999994083797,3.357142855452514,1289236.28983383,147836390563.7885,3.900136652049951e+18,3.900136652049951e+18,3.9001190351118776e+18,2.5640127236936426e-19,0.0759015762973134,-3.3749398393813883,3.7490694970654808,0.062499999890056,0.00034435800589755817,64,1289236.2899833356,288.5433595943776,0.9999999977816811
0.874125,155228210156.25,ok,optimal,True,2,True,1236134.2859047384,0.0006917966529726982,0.007875858999796037,276.65862590946574,4149879.388641986,0.9999999998742035,3.357142856783439,1236134.2861108053,155228210138.2001,4.095143485871856e+18,4.095143485871856e+18,4.0951415588122414e+18,2.4419168789811036e-19,0.07407235383442856,-2.577245953513053,4.337045424961497,0.06249999998183305,0.00041532955286221606,64,1236134.2859047384,276.6586253284529,0.9999999976024532
0.9157500000000001,162620029687.5,ok,optimal,True,2,True,1158649.8328778201,0.000565278809517622,0.00823050000008152,259.3168673038162,3889753.009557243,0.9999999995820554,3.35714285594873,1158649.8330462012,162620029620.4527,4.290150317262475e+18,4.290150317262475e+18,4.29015030850059e+18,2.330920657899221e-19,0.0723693134641948,-1.7863579077114968,4.849353542950161,0.06249999995590625,0.0004948373647549648,64,1158649.8328778201,259.3168668051356,0.9999999974932228
0.9573750000000001,170011849218.75003,ok,optimal,True,2,True,1026319.136151614,0.0012811105698347092,0.00787778000039907,229.699997181995,3445499.957729925,0.9999999997846074,3.35714285652745,1026319.1365332215,170011849181.06897,4.4851571507204383e+18,4.4851571507204383e+18,4.485156446072467e+18,2.2295762810437376e-19,0.07077858484345448,-1.0192235945041244,5.311178494049724,0.06249999998403803,0.0005863965892854206,63,1026319.136151614,229.69999666263772,0.999999997564794
0.999,177403668750.0,ok,optimal,True,2,True,566241.7413844605,-0.018793859984725714,0.008314874000006967,126.73029323005218,1900954.3984507828,0.9999999998390862,3.3571428566831036,566241.7357862894,177403668716.8581,4.680163983523427e+18,4.680163983523427e+18,4.680162447692685e+18,2.1366772692591794e-19,0.06928834247252436,-0.3015362039370749,5.892686860338795,0.06249999999165206,0.0007194444493088982,45,566241.7413844605,126.73029439489048,0.9999999990223856
