method,metric,mean,std,median,p05,p95,count,label
edge_weighted,isl_db,1.70177705900977,2.2316322462394835e-16,1.7017770590097698,1.7017770590097698,1.7017770590097698,100,Edge-weighted (∝ w_k)
edge_weighted,solve_time_s,2.6906149978458417e-05,1.181950923982335e-06,2.6633999823388876e-05,2.5910750173352427e-05,2.880930030642048e-05,100,Edge-weighted (∝ w_k)
sensing_optimal,rate_bps,1666290.11265866,83074.85346947233,1655735.2683113762,1510311.2149324212,1803973.4426228085,100,Sensing-optimal (max S)
sensing_optimal,rate_spectral_efficiency,111.08600751057733,5.538323564631488,110.38235122075841,100.68741432882807,120.26489617485389,100,Sensing-optimal (max S)
sensing_optimal,tx_power_w,1.0,0.0,1.0,1.0,1.0,100,Sensing-optimal (max S)
sensing_optimal,system_power_w,3.3571428571428554,1.785305796991587e-15,3.357142857142857,3.357142857142857,3.357142857142857,100,Sensing-optimal (max S)
sensing_optimal,energy_efficiency_bit_per_j,496341.7356855582,24745.701033459845,493197.7394970056,449879.93636284885,537353.7914195599,100,Sensing-optimal (max S)
sensing_optimal,delay_crb_s2,2.134540591591153e-19,2.419540529561554e-35,2.1345405915911532e-19,2.1345405915911532e-19,2.1345405915911532e-19,100,Sensing-optimal (max S)
sensing_optimal,range_rmse_bound_m,0.06925368962944321,1.3947701538996772e-17,0.0692536896294432,0.0692536896294432,0.0692536896294432,100,Sensing-optimal (max S)
sensing_optimal,psl_db,-0.29046009647374993,5.579080615598709e-17,-0.2904600964737499,-0.2904600964737499,-0.2904600964737499,100,Sensing-optimal (max S)
sensing_optimal,isl_db,5.960647967914348,8.926528984957934e-16,5.960647967914347,5.960647967914347,5.960647967914347,100,Sensing-optimal (max S)
sensing_optimal,solve_time_s,2.093015999889758e-05,2.43693265988121e-06,2.0325000150478445e-05,1.964050009064522e-05,2.3890250190561346e-05,100,Sensing-optimal (max S)
min_power_isac,rate_bps,4330347.006674698,172658.4400679011,4347385.005362132,4062963.3120742384,4640992.14322118,100,Min-power ISAC
min_power_isac,rate_spectral_efficiency,288.6898004449799,11.510562671193409,289.8256670241421,270.86422080494924,309.39947621474533,100,Min-power ISAC
min_power_isac,tx_power_w,0.8381473664621957,0.006128096744123467,0.8386005652158702,0.8281429033656621,0.8480251520712597,100,Min-power ISAC
min_power_isac,system_power_w,2.8947067613205593,0.01750884784035278,2.8960016149024863,2.866122581044749,2.922929005917885,100,Min-power ISAC
min_power_isac,energy_efficiency_bit_per_j,1496123.704239926,63189.78382088769,1493555.6408278174,1399454.3138887326,1605497.0267288506,100,Min-power ISAC
min_power_isac,delay_crb_s2,3.5575676516386964e-19,3.06244752622479e-29,3.557567651561292e-19,3.5575676512358063e-19,3.5575676522722373e-19,100,Min-power ISAC
min_power_isac,range_rmse_bound_m,0.08940612885335178,3.84815702946741e-12,0.08940612885237914,0.08940612884828922,0.08940612886131263,100,Min-power ISAC
min_power_isac,psl_db,-5.72368506132457,0.19033090536611985,-5.730728760798227,-5.9989154689874455,-5.40585980275282,100,Min-power ISAC
min_power_isac,isl_db,1.7803952437650303,0.1675028192307174,1.7801909165674497,1.4833766009638247,2.0589709567645103,100,Min-power ISAC
min_power_isac,solve_time_s,0.005984733200020856,0.0035089201081623693,0.005604542499895615,0.005223008050029421,0.006038498249699841,100,Min-power ISAC
max_rate_isac,rate_bps,4714724.189134493,188227.15753513994,4729022.334505267,4426921.345476745,5051046.476776889,100,Max-rate ISAC
max_rate_isac,rate_spectral_efficiency,314.3149459422995,12.548477169009331,315.2681556336845,295.1280896984496,336.73643178512594,100,Max-rate ISAC
max_rate_isac,tx_power_w,0.9999999991787069,3.690743921999772e-10,0.9999999991709753,0.9999999988098206,0.9999999996545117,100,Max-rate ISAC
max_rate_isac,system_power_w,3.3571428547963045,1.0544982448227457e-09,3.3571428547742155,3.357142853742345,3.357142856155748,100,Max-rate ISAC
max_rate_isac,energy_efficiency_bit_per_j,1404385.9296566609,56067.66390126334,1408644.9519673716,1318657.4225250932,1504567.0361902544,100,Max-rate ISAC
max_rate_isac,delay_crb_s2,3.5575676547584218e-19,1.067719152515892e-28,3.557567654713968e-19,3.5575676534834446e-19,3.5575676557998096e-19,100,Max-rate ISAC
max_rate_isac,range_rmse_bound_m,0.08940612889255309,1.3416560136625343e-11,0.08940612889199451,0.08940612887653221,0.08940612890563877,100,Max-rate ISAC
max_rate_isac,psl_db,-7.851228551893031,0.2015716095783041,-7.859759850512194,-8.182633388040045,-7.5064057952098375,100,Max-rate ISAC
max_rate_isac,isl_db,-1.9743235524845593,0.21815414512277562,-2.039151909542999,-2.222048342076941,-1.5578825382466301,100,Max-rate ISAC
max_rate_isac,solve_time_s,0.0053298197100139074,0.0003501592006271914,0.0053027700000711775,0.004883861449980031,0.005739287800088278,100,Max-rate ISAC
dinkelbach_ee_isac,rate_bps,3957236.951278929,157214.33196486492,3975528.5886933403,3715754.9295509886,4234333.753447267,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,rate_spectral_efficiency,263.8157967519286,10.48095546432433,265.03523924622266,247.71699530339924,282.28891689648447,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,tx_power_w,0.7334931380316381,0.007030449257780047,0.7330679583038808,0.7240820059275583,0.7464955551571058,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,system_power_w,2.595694680090395,0.020086997879371533,2.594479880868231,2.5688057312215955,2.6328444433060163,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,energy_efficiency_bit_per_j,1524777.3106691632,65316.13681353274,1520737.9365138041,1423332.739061895,1638396.0493004282,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,delay_crb_s2,3.557567653863354e-19,4.986686216867972e-29,3.5575676537786063e-19,3.5575676531878403e-19,3.557567654556477e-19,100,Dinkelbach EE-ISAC
